Phase Band Mag Sigma
-10.5935688087322 B 16.8205279416 0.016
-8.56999710966049 B 16.2784733927 0.013
-7.6099542889634 B 16.1147295033 0.012
-3.62367923932928 B 15.6949521059 0.009
-2.62738177021578 B 15.633423889 0.009
0.29595631367043 B 15.5846589507 0.008
1.26893242527466 B 15.6044474982 0.01
4.23805495088068 B 15.7317115581 0.009
8.19078828495899 B 16.0391231319 0.01
14.0817296520435 B 16.7098316723 0.013
18.0371660537902 B 17.2139909292 0.02
21.989504779453 B 17.6468212042 0.036
29.8796507757751 B 18.252935616 0.035
-13.0463264886814 V 16.6635765446 0.012
-11.0227547896097 V 16.1086823117 0.01
-10.0627119689126 V 15.9561509878 0.008
-6.07643691927849 V 15.5111381955 0.007
-5.08013945016499 V 15.4666954424 0.009
-2.15680136627878 V 15.3770614605 0.006
-1.18382525467454 V 15.3640038057 0.007
1.78529727093148 V 15.4071222983 0.006
5.73803060500978 V 15.5291250711 0.006
11.6289719720943 V 15.9126461556 0.01
15.584408373841 V 16.1766106818 0.01
19.5367470995038 V 16.3647107033 0.011
27.4268930958259 V 16.845653435 0.014
-10.0867633520059 r 16.5746811876 0.01
-8.06319165293411 r 16.0798462234 0.009
-7.10314883223702 r 15.9097827836 0.007
-3.1168737826029 r 15.5042479844 0.008
-2.1205763134894 r 15.4587521267 0.007
0.802761770396811 r 15.4347927492 0.005
1.77573788200105 r 15.4282881988 0.007
4.74486040760706 r 15.470564134 0.005
8.69759374168537 r 15.6726169267 0.008
14.5885351087699 r 16.0434581781 0.009
18.5439715105165 r 16.1393938249 0.006
22.4963102361794 r 16.1879628849 0.007
-7.76888282940763 i 16.6088170428 0.012
-5.74531113033588 i 16.1919668943 0.01
-4.78526830963879 i 16.0477274557 0.008
-0.798993260004666 i 15.71439955 0.008
0.197304209108835 i 15.6994710933 0.009
3.12064229299504 i 15.7635395698 0.006
4.09361840459928 i 15.780975318 0.009
7.0627409302053 i 15.9091281213 0.007
11.0154742642836 i 16.1098235406 0.01
16.9064156313682 i 16.2968071113 0.011
20.8618520331148 i 16.1546460675 0.01
24.8141907587777 i 16.1000918671 0.009
32.7043367550997 i 16.3126479914 0.011
