Phase Band Mag Sigma
51.8598861829082 B 17.7380093555 0.016
56.8276643831441 B 17.8591504609 0.015
-8.79840477962803 B 16.54 0.012
-7.72299795709811 B 16.05 0.01
-3.74649157608444 B 15.12 0.008
-2.7896861373422 B 15.006 0.008
0.199112538884939 B 14.804 0.006
1.1938489162905 B 14.83 0.011
4.17100946462028 B 15.027 0.011
5.22668423455231 B 15.2 0.013
8.16201123846099 B 15.661 0.014
9.26107263061444 B 15.828 0.008
14.1305788372839 B 16.479 0.011
15.0931983621669 B 16.542 0.013
18.0606223073447 B 16.749 0.008
22.0644867511986 B 16.9451674556 0.012
23.016204864574 B 17.0034513247 0.011
27.0812964141321 B 17.1497486546 0.011
32.0565413345761 B 17.3020119396 0.011
37.9845696204841 B 17.4444512335 0.014
38.9802816493273 B 17.4762040745 0.013
42.9349055623123 B 17.5554086824 0.01
47.9398182510471 B 17.6696796875 0.017
62.8938369485342 B 18.0206279648 0.015
64.7769935632009 B 18.0335005707 0.016
65.7897794922534 B 18.0470251057 0.015
66.7664961848813 B 18.0675499117 0.02
68.7220600743144 B 18.0989811533 0.012
72.7251977574016 B 18.1633995073 0.016
74.7213507378866 B 18.1974710214 0.016
76.557815462183 B 18.2521419915 0.021
79.6873767477812 B 18.2905415236 0.024
85.6192877281937 B 18.4256099578 0.016
87.612692955639 B 18.4528996015 0.023
99.5740103711339 B 18.7285982851 0.023
105.574784423116 B 18.7865412929 0.029
110.528415677463 B 18.9712303768 0.082
120.44275663692 B 19.0877236765 0.025
268.161800597304 B 21.286 0.072
-11.2769576637046 V 16.155 0.009
-10.2015508411747 V 15.676 0.008
-6.22504446016101 V 14.668 0.006
-5.26823902141878 V 14.524 0.009
-2.27944034519163 V 14.215 0.005
-1.28470396778607 V 14.159 0.006
1.69245658054371 V 14.154 0.008
2.74813135047574 V 14.205 0.007
5.68345835438442 V 14.465 0.008
6.78251974653787 V 14.606 0.009
11.6520259532073 V 15.107 0.008
12.6146454780903 V 15.201 0.007
15.5820694232682 V 15.438 0.006
19.5859338671221 V 15.7283570287 0.01
20.5376519804975 V 15.7910196559 0.01
24.6027435300555 V 16.0251202573 0.008
29.5779884504995 V 16.16094042 0.009
35.5060167364076 V 16.4144492703 0.009
36.5017287652508 V 16.4463399057 0.009
40.4563526782357 V 16.5911970924 0.008
45.4612653669706 V 16.7416028798 0.01
49.3813332988316 V 16.8759640057 0.01
54.3491114990676 V 17.0126780956 0.009
60.4152840644577 V 17.1868209703 0.01
62.2984406791244 V 17.2384823024 0.013
63.3112266081769 V 17.2746480234 0.012
64.2879433008047 V 17.3050188492 0.015
66.2435071902378 V 17.3417045312 0.009
70.246644873325 V 17.4411682079 0.012
72.2427978538101 V 17.4938902536 0.015
74.0792625781064 V 17.5503061513 0.015
77.2088238637046 V 17.6327375197 0.018
83.1407348441171 V 17.7948314075 0.015
85.1341400715624 V 17.8987138335 0.016
97.0954574870574 V 18.1835818719 0.02
103.096231539039 V 18.314628555 0.025
108.049862793386 V 18.4641247124 0.049
117.964203752843 V 18.8636932519 0.028
265.683247713228 V 21.861 0.074
48.6243273372415 r 17.0249372191 0.009
53.5921055374774 r 17.2401770832 0.009
-12.0339636252947 r 16.085 0.008
-10.9585568027648 r 15.609 0.007
-6.98205042175115 r 14.606 0.006
-6.02524498300891 r 14.457 0.006
-3.03644630678177 r 14.119 0.004
-2.04170992937621 r 14.075 0.009
0.935450618953575 r 14.019 0.011
1.99112538888561 r 14.018 0.005
4.92645239279428 r 14.183 0.004
6.02551378494773 r 14.257 0.004
10.8950199916172 r 14.666 0.005
11.8576395165002 r 14.756 0.006
14.825063461678 r 14.994 0.005
18.8289279055319 r 15.4206804616 0.008
19.7806460189073 r 15.5022441554 0.006
23.8457375684654 r 15.7753237468 0.006
28.8209824889093 r 16.0335805024 0.007
34.7490107748174 r 16.3637106977 0.007
35.7447228036606 r 16.41517976 0.008
39.6993467166456 r 16.6207249465 0.007
44.7042594053804 r 16.8497366476 0.008
59.6582781028675 r 17.4843110262 0.009
61.5414347175342 r 17.5597579807 0.012
62.5542206465867 r 17.6060908982 0.013
63.5309373392146 r 17.6484087087 0.013
65.4865012286477 r 17.7469297415 0.009
69.4896389117349 r 17.8944241498 0.013
71.4857918922199 r 17.97744242 0.015
73.3222566165163 r 18.044087151 0.015
76.4518179021145 r 18.1704942412 0.016
82.383728882527 r 18.4029685577 0.018
84.3771341099723 r 18.4694304812 0.017
96.3384515254672 r 18.9239847462 0.019
102.339225577449 r 19.1999037353 0.056
107.292856831796 r 19.3240707323 0.048
117.207197791253 r 19.7533438826 0.039
263.884823439499 r 22.974 0.182
59.6188339089107 i 17.0582903725 0.011
61.5019905235774 i 17.0915054442 0.013
62.5147764526299 i 17.1259791631 0.012
63.4914931452577 i 17.1379449217 0.015
65.4470570346908 i 17.1887402156 0.01
69.450194717778 i 17.3431183667 0.014
71.4463476982631 i 17.4139211773 0.016
73.2828124225594 i 17.4730801711 0.013
76.4123737081576 i 17.5638587825 0.017
82.3442846885701 i 17.7540042751 0.015
84.3376899160154 i 17.7797515763 0.018
96.2990073315104 i 18.1191808284 0.019
102.299781383492 i 18.2950903207 0.027
107.253412637839 i 18.4407953124 0.029
117.167753597296 i 18.6474546722 0.027
264.886797557681 i 21.55 0.053
-12.0734078192516 i 16.112 0.009
-10.9980009967217 i 15.7 0.008
-7.02149461570801 i 14.764 0.007
-6.06468917696577 i 14.636 0.007
-3.07589050073863 i 14.352 0.006
-2.08115412333307 i 14.299 0.008
0.896006424996712 i 14.283 0.009
1.95168119492874 i 14.289 0.006
4.88700819883742 i 14.376 0.01
5.98606959099087 i 14.422 0.005
10.8555757976603 i 14.661 0.006
11.8181953225433 i 14.736 0.007
14.7856192677212 i 14.942 0.006
18.7894837115751 i 15.2509883303 0.008
19.7412018249505 i 15.3436288979 0.007
23.8062933745085 i 15.6628524088 0.006
28.7815382949525 i 16.0309916817 0.009
34.7095665808606 i 16.2844918702 0.008
35.7052786097038 i 16.3093927075 0.01
39.6599025226887 i 16.4488804008 0.008
44.6648152114236 i 16.6815841249 0.011
48.5848831432846 i 16.8163354042 0.009
53.5526613435206 i 16.9002999703 0.009
