Phase Band Mag Sigma
41.7599662865248 B 18.8269164614 0.031
44.7338115752351 B 18.8234313958 0.044
45.7017140975063 B 18.9299892577 0.053
-10.0913244693541 B 16.857 0.012
-3.26071798042191 B 15.611 0.007
-2.25428675709082 B 15.581 0.008
1.66154655742238 B 15.612 0.007
6.54768369967249 B 15.914 0.007
10.4862363042021 B 16.34 0.008
14.3769882282335 B 16.9289506499 0.012
15.3734221798551 B 17.0843485005 0.013
22.2428710097359 B 17.908902584 0.016
24.2034732086145 B 18.1415091805 0.011
30.0477018251137 B 18.4826636587 0.011
32.0478520547048 B 18.5420692854 0.014
34.0076701538403 B 18.6058032218 0.015
34.9545784055329 B 18.6205394061 0.014
38.8243066552425 B 18.7624828189 0.015
54.5086439851311 B 19.0303732104 0.016
55.4966390632866 B 19.0916368055 0.017
56.4725884091559 B 19.0672723806 0.025
57.4617106306863 B 19.1001564264 0.018
58.4265061577351 B 19.0815858302 0.018
64.2853190294304 B 19.1390886034 0.017
65.3557033879279 B 19.1736320158 0.02
67.218851790171 B 19.1793604285 0.018
68.0726089925618 B 19.1544221578 0.026
71.1483872476718 B 19.221920874 0.049
75.9919869789381 B 19.3235652028 0.046
77.0310563540087 B 19.2793939424 0.038
87.7928351086574 B 19.5449853731 0.023
90.7382371792324 B 19.611676375 0.025
96.6250032067155 B 19.6346702632 0.046
97.5287761713757 B 19.6037830512 0.051
110.269573667578 B 20.0251627865 0.033
111.275554033548 B 20.05557036 0.029
115.148634309654 B 20.1421603767 0.031
122.967814150304 B 20.183 0.053
129.848191370339 B 20.556 0.222
131.772871999804 B 20.462 0.128
137.682376919797 B 20.466 0.045
149.358053327016 B 20.763 0.058
152.256968084163 B 20.821 0.133
-10.6747338820837 V 16.865 0.009
-3.84412739315147 V 15.672 0.006
-2.83769616982038 V 15.63 0.006
1.07813714469282 V 15.594 0.006
5.96427428694293 V 15.777 0.006
9.90282689147256 V 16.077 0.007
13.793578815504 V 16.3485917878 0.01
14.7900127671255 V 16.4009352767 0.009
21.6594615970063 V 16.9377777702 0.009
23.6200637958849 V 16.9553402166 0.013
29.4642924123842 V 17.4652305689 0.024
31.4644426419753 V 17.5687803459 0.011
33.4242607411107 V 17.638373246 0.012
34.3711689928033 V 17.6850826256 0.012
38.240897242513 V 17.811534652 0.012
41.1765568737952 V 17.9079349287 0.015
44.1504021625055 V 18.0435631115 0.024
45.1183046847767 V 17.9880936068 0.025
53.9252345724016 V 18.2845651169 0.014
54.913229650557 V 18.2912442465 0.012
55.8891789964263 V 18.3112158372 0.019
56.8783012179568 V 18.3167425529 0.014
57.8430967450055 V 18.356233353 0.015
63.7019096167008 V 18.4872070112 0.015
64.7722939751984 V 18.51672189 0.016
66.6354423774414 V 18.5684092512 0.016
67.4891995798323 V 18.5592354057 0.019
70.5649778349423 V 18.5683818603 0.034
75.4085775662086 V 18.7320041151 0.031
76.4476469412792 V 18.734302094 0.02
87.2094256959278 V 19.0183617869 0.019
90.1548277665029 V 19.1042086934 0.024
96.041593793986 V 19.2977735724 0.034
96.9453667586462 V 19.2582280555 0.045
109.686164254849 V 19.6495954645 0.026
110.692144620819 V 19.6852428825 0.026
114.565224896924 V 19.7315605185 0.031
122.384404737575 V 19.946 0.043
129.26478195761 V 19.891 0.118
131.189462587075 V 20.026 0.081
137.098967507067 V 20.19 0.04
148.774643914287 V 20.432 0.057
151.673558671433 V 20.421 0.091
41.0863461985286 r 17.8496344907 0.012
44.0601914872389 r 17.9971633817 0.014
45.0280940095101 r 18.0189873063 0.018
46.9526864277457 r 18.1172115946 0.015
-10.7649445573502 r 16.884 0.009
-3.93433806841806 r 15.718 0.006
-2.92790684508696 r 15.68 0.006
0 r 15.614 0.006
0.987926469426233 r 15.614 0.006
5.87406361167634 r 15.886 0.005
6.87398680714544 r 15.986 0.005
9.81261621620598 r 16.24 0.006
13.7033681402374 r 16.4670771685 0.009
14.6998020918589 r 16.4597369872 0.008
21.5692509217397 r 16.6648752604 0.008
23.5298531206183 r 16.7908105559 0.009
29.3740817371176 r 17.3042737034 0.009
31.3742319667087 r 17.4318446244 0.009
33.3340500658441 r 17.5304074074 0.009
34.2809583175367 r 17.5872945506 0.009
38.1506865672464 r 17.7743318992 0.01
53.835023897135 r 18.313626006 0.01
54.8230189752904 r 18.3673588852 0.012
55.7989683211597 r 18.3921389281 0.012
56.7880905426902 r 18.4322583721 0.013
57.7528860697389 r 18.4780058337 0.011
63.6116989414343 r 18.6945064932 0.011
64.6820832999318 r 18.7156007232 0.012
66.5452317021748 r 18.7633942579 0.014
67.3989889045657 r 18.7661476324 0.017
70.4747671596757 r 18.8808249019 0.031
75.318366890942 r 18.9908243251 0.023
76.3574362660126 r 19.0298376271 0.02
82.2006259503519 r 19.2772007397 0.016
87.1192150206612 r 19.4567630188 0.02
90.0646170912363 r 19.5416852804 0.019
95.9513831187194 r 19.793528661 0.042
96.8551560833796 r 19.7923695292 0.046
109.595953579582 r 20.2476912923 0.029
110.601933945552 r 20.2892843208 0.031
114.475014221658 r 20.3685034702 0.035
122.294194062308 r 20.461 0.055
129.174571282343 r 20.867 0.205
131.099251911808 r 20.708 0.09
137.008756831801 r 20.769 0.055
148.68443323902 r 21.118 0.077
151.583347996167 r 20.882 0.102
57.8673744332511 i 18.3978097025 0.016
58.8553695114065 i 18.4431445776 0.018
59.8313188572758 i 18.4026294439 0.03
60.8204410788063 i 18.4814735931 0.017
61.785236605855 i 18.4882578377 0.017
67.6440494775504 i 18.7661171343 0.02
68.7144338360479 i 18.801616719 0.02
70.5775822382909 i 18.8907340881 0.023
71.4313394406818 i 18.9547384129 0.029
74.5071176957918 i 18.9510294153 0.039
79.3507174270581 i 19.1882063913 0.041
80.3897868021287 i 19.2731806721 0.033
86.2329764864681 i 19.4712978999 0.03
91.1515655567773 i 19.5683888981 0.038
94.0969676273524 i 19.76801143 0.033
99.9837336548355 i 20.0214472277 0.062
100.887506619496 i 19.9008372867 0.058
113.628304115698 i 20.354205887 0.064
114.634284481668 i 20.3889303931 0.043
118.507364757774 i 20.4742880134 0.066
126.326544598424 i 20.611 0.081
133.206921818459 i 20.904 0.211
135.131602447924 i 20.797 0.134
141.041107367917 i 20.884 0.108
152.716783775136 i 21.097 0.123
155.615698532283 i 21.172 0.195
-6.73259402123413 i 17.049 0.013
0.0980124676980504 i 16.122 0.007
1.10444369102914 i 16.161 0.009
4.03235053611611 i 16.258 0.007
5.02027700554234 i 16.272 0.009
9.90641414779245 i 16.67 0.008
10.9063373432616 i 16.798 0.008
13.8449667523221 i 16.99 0.012
17.7357186763535 i 16.9757873462 0.012
18.732152627975 i 16.9184313493 0.011
25.6016014578558 i 16.761545628 0.009
27.5622036567344 i 16.9167280836 0.014
33.4064322732337 i 17.4172145824 0.012
35.4065825028248 i 17.5269413363 0.01
37.3664006019602 i 17.620870619 0.01
38.3133088536528 i 17.6601350828 0.01
42.1830371033625 i 17.8603218119 0.014
45.1186967346447 i 18.0565382871 0.015
48.0925420233551 i 18.1266867374 0.019
49.0604445456262 i 18.2062093477 0.033
50.9850369638618 i 18.2414689436 0.019
