Phase Band Mag Sigma
-5.62295712363197 B 18.1616375399 0.08
-4.78946356470257 B 17.9346841544 0.03
-3.8732935973873 B 17.8463341815 0.025
-1.96019996155 B 17.7060813489 0.019
1.05748894443236 B 17.69885149 0.032
4.8394539511629 B 17.8801491594 0.057
8.68294558738631 B 18.232812049 0.111
15.4085752739843 B 19.152685279 0.17
-5.52586041145894 V 17.7832229847 0.064
-4.69236685252953 V 17.7930890127 0.026
-3.77619688521427 V 17.6974883498 0.022
-1.86406460295951 V 17.5769450944 0.021
1.15362430301585 V 17.5237763772 0.042
4.93655066333593 V 17.8775063935 0.045
8.7790809459698 V 17.8170260004 0.059
15.5056719861573 V 18.1961356772 0.054
27.0092289944253 V 18.8218100863 0.069
27.9282830224952 V 19.0595882948 0.077
28.921361276673 V 19.0865178599 0.073
30.8565660449929 V 19.1872067465 0.088
39.4635646990921 V 19.2630913047 0.215
48.1215150932483 V 19.4597284937 0.086
-6.96789079023226 r' 18.078538565 0.091
-6.13439723130285 r' 17.9387064853 0.022
-5.21822726398758 r' 17.884432418 0.022
-3.30513362815028 r' 17.7515024336 0.018
-0.28840607575746 r' 17.6876252268 0.036
3.49452028455562 r' 17.7437761749 0.031
7.33801192078603 r' 17.9675384323 0.042
14.063641607384 r' 18.3709429555 0.042
25.5681599692345 r' 19.1925460279 0.049
26.4872139973044 r' 19.2213051094 0.055
27.4793308978997 r' 19.3075619295 0.041
29.4154970198021 r' 19.4470711845 0.049
38.0167275523921 r' 19.8466267825 0.134
39.9528936742945 r' 20.0711747912 0.127
46.6727552393761 r' 20.0621371285 0.074
-4.27610074985261 i' 18.2411940894 0.1
-3.4426071909232 i' 18.2011654967 0.031
-2.52643722360793 i' 18.1631041742 0.032
-0.614304941360173 i' 18.1329002094 0.032
2.40338396462219 i' 18.1250306846 0.068
6.18631032493527 i' 18.3140264991 0.067
16.7554316477636 i' 18.8222452541 0.073
28.2589886560316 i' 18.6328873271 0.114
29.1780426841015 i' 18.7057205476 0.064
30.1711209382794 i' 18.9264013535 0.062
32.1063257065922 i' 19.0079136806 0.066
40.7075562391822 i' 19.5545166075 0.155
42.6446837146741 i' 19.8490652279 0.121
43.5685445106707 i' 19.7211591582 0.185
49.3655066333383 i' 20.2728900529 0.182
