Phase Band Mag Sigma
-2.30514781801051 B 17.3889222416 0.02
-1.27836585788776 B 17.3338202546 0.02
-0.292369433770958 B 17.2880994863 0.016
3.62455259875461 B 17.4764444382 0.02
9.59689022460201 B 18.1891521466 0.037
10.531702506508 B 18.3617419974 0.036
11.3896606099208 B 18.5008210652 0.086
23.0859972645792 B 20.0994887492 0.159
29.9210488699697 B 20.4109032673 0.301
30.827764449287 B 20.5360839549 0.339
33.7615552781524 B 20.6937365601 0.334
-4.46789223047215 V 17.1880651365 0.015
-3.44112976164449 V 17.0920900349 0.019
-2.45510410058859 V 17.0490157003 0.018
1.46184716887606 V 17.0216411044 0.018
7.43416530343547 V 17.3286145621 0.019
8.36893860274413 V 17.4324716328 0.021
9.22691619745915 V 17.5004020216 0.024
20.9232528521105 V 18.5898075883 0.047
27.7582654749108 V 19.0260723185 0.074
28.6650297824694 V 19.1459093639 0.083
31.5987816287375 V 19.3625871247 0.095
44.3374153148024 V 20.023 0.299
49.1164958249432 V 20.228 0.164
-4.46787273917706 r' 17.1685164905 0.014
-3.44109077905431 r' 17.1209760779 0.017
-2.45506511799841 r' 17.1090622596 0.015
1.46184716887606 r' 17.0270680403 0.017
7.43418479473056 r' 17.4761534626 0.017
8.36895809404632 r' 17.4940992529 0.017
9.22692594310315 r' 17.5395651479 0.018
20.9232820890567 r' 18.2309920717 0.035
27.7582849662059 r' 18.8237200087 0.048
28.6650395281134 r' 18.7532540566 0.061
31.5988206113347 r' 18.8395989918 0.053
42.293119505611 r' 19.256 0.226
44.3381364927421 r' 19.46 0.124
48.1358302701724 r' 19.501 0.103
49.109576415008 r' 19.733 0.081
-2.30515756365451 i' 17.4300182772 0.021
-1.27835611223667 i' 17.3800781313 0.022
-0.292369433778049 i' 17.3320788902 0.019
3.62456234439861 i' 17.4616788601 0.031
9.59689022460201 i' 17.7228545866 0.034
10.5316830152129 i' 17.6213197384 0.031
11.3896411186257 i' 17.6235732462 0.032
23.0859972645792 i' 18.050090998 0.055
29.9210391243186 i' 18.7216402023 0.073
30.8277547036359 i' 18.6605767201 0.08
33.7615455325013 i' 18.9952056024 0.098
46.5015533549021 i' 19.415 0.226
51.2729835315241 i' 19.974 0.2
