Phase Band Mag Sigma
-10.4844900734921 B 16.6172122384 0.007
-7.32701239743903 B 15.7992973006 0.007
-5.32217539454803 B 15.5068481141 0.009
-2.49328263543408 B 15.2963365742 0.007
-1.39333598109337 B 15.2669057353 0.007
-0.422625308058595 B 15.2538976175 0.008
0.596198591284302 B 15.2509502065 0.006
2.57247768165873 B 15.3057958444 0.007
4.53807488059759 B 15.3899897213 0.007
9.49007056983134 B 15.7854739053 0.006
12.4824807292441 B 16.0939045275 0.007
13.4755786593833 B 16.1856502702 0.006
16.4475789536903 B 16.5097969614 0.008
18.4228047598844 B 16.7061787054 0.008
19.37511276973 B 16.7906840663 0.011
23.3531584402448 B 17.1030939508 0.023
29.3025744994002 B 17.5771464467 0.014
32.3456019192135 B 17.7526673677 0.015
33.3110759812868 B 17.8198445778 0.013
38.2651086823696 B 17.9562791162 0.013
45.1814793634356 B 18.0465090533 0.014
46.2451672067776 B 18.0736822511 0.013
49.1149989358257 B 18.1039730986 0.016
52.128146869572 B 18.1291302841 0.041
55.1399732297751 B 18.2065353639 0.022
59.0457198844587 B 18.1692020999 0.014
64.022298828933 B 18.2349194107 0.014
67.001781415563 B 18.2840910971 0.013
71.9100161281963 B 18.391 0.026
75.954031172836 B 18.404 0.021
79.8770377767384 B 18.385 0.023
83.8677725406054 B 18.507 0.034
85.8507191185532 B 18.509 0.018
99.7011477055469 B 18.717 0.009
103.691564496833 B 18.797 0.024
104.68928296605 B 18.767 0.025
106.649812476968 B 18.827 0.017
107.652797367079 B 18.784 0.027
110.61211850468 B 18.847 0.016
111.609558747888 B 18.865 0.016
119.470407363962 B 19.099 0.021
-12.4390377252103 V 15.429688032 0.005
-9.28156004915725 V 14.6448792738 0.006
-7.27672304626626 V 14.3632985989 0.006
-4.4478302871523 V 14.103830558 0.006
-3.3478836328116 V 14.0461107426 0.006
-2.37717295977682 V 14.0103391167 0.008
-1.35834906043393 V 13.978462039 0.006
0.617930029940506 V 13.9482880953 0.006
2.58352722887936 V 13.9436886661 0.006
7.53552291811311 V 14.1616209089 0.004
10.5279330775258 V 14.3740595989 0.006
11.5210310076651 V 14.4358997131 0.004
14.493031301972 V 14.5956028113 0.006
16.4682571081662 V 14.6700151262 0.006
17.4205651180118 V 14.7108348557 0.006
21.3986107885266 V 14.866013786 0.008
27.348026847682 V 15.2426335011 0.007
30.3910542674953 V 15.4834577624 0.007
31.3565283295685 V 15.5517137942 0.008
36.3105610306513 V 15.7517174573 0.006
43.2269317117174 V 15.9733034442 0.009
44.2906195550593 V 16.0040290884 0.007
47.1604512841074 V 16.0904138606 0.007
50.1735992178537 V 16.1833206499 0.008
53.1854255780569 V 16.2655924788 0.009
57.0911722327405 V 16.3289901404 0.007
62.0677511772148 V 16.4770064807 0.006
65.0472337638448 V 16.5808543434 0.007
69.955468476478 V 16.848 0.009
73.9994835211177 V 16.946 0.009
77.9224901250202 V 17.036 0.009
81.9132248888872 V 17.145 0.009
83.896171466835 V 17.179 0.01
97.7466000538286 V 17.542 0.007
101.737016845114 V 17.584 0.01
102.734735314331 V 17.621 0.011
104.69526482525 V 17.67 0.007
105.698249715361 V 17.695 0.009
108.657570852962 V 17.744 0.007
109.655011096169 V 17.765 0.008
117.515859712244 V 17.903 0.013
-12.7588684595087 r 14.7936771954 0.004
-9.60139078345561 r 14.1071252831 0.009
-4.76766102145066 r 13.7216150319 0.005
-3.66771436710995 r 13.6976194536 0.006
-2.69700369407518 r 13.6625826318 0.007
-1.67817979473228 r 13.6418817852 0.006
0.298099295642151 r 13.6259843936 0.006
2.26369649458101 r 13.6716962056 0.006
7.21569218381475 r 13.9687905537 0.006
10.2081023432275 r 14.1802103259 0.007
11.2012002733668 r 14.2059767144 0.006
14.1732005676737 r 14.2504716195 0.006
16.1484263738679 r 14.2569870432 0.006
17.1007343837135 r 14.2563453607 0.006
21.0787800542282 r 14.2738359858 0.006
27.0281961133837 r 14.5428622777 0.006
30.0712235331969 r 14.7818179871 0.005
31.0366975952702 r 14.8448946347 0.006
35.990730296353 r 15.1058178765 0.005
42.907100977419 r 15.3677909381 0.007
43.970788820761 r 15.4203085432 0.005
46.8406205498091 r 15.5216448126 0.006
49.8537684835554 r 15.6316380503 0.005
52.8655948437586 r 15.7180248983 0.006
56.7713414984421 r 15.8432710184 0.006
61.7479204429164 r 16.0176929791 0.008
64.7274030295465 r 16.102421587 0.007
69.6356377421797 r 16.315 0.007
73.6796527868194 r 16.449 0.007
77.6026593907218 r 16.558 0.009
81.5933941545888 r 16.691 0.007
83.5763407325366 r 16.753 0.009
97.4267693195303 r 17.204 0.004
101.417186110816 r 17.31 0.008
102.414904580033 r 17.341 0.008
104.375434090951 r 17.4 0.005
105.378418981062 r 17.433 0.008
108.337740118663 r 17.519 0.006
109.335180361871 r 17.503 0.006
-10.0848184111962 i 14.8858720135 0.005
-6.92734073514319 i 14.1427425129 0.006
-2.09361097313823 i 13.7706907964 0.006
-0.99366431879753 i 13.7225888882 0.008
-0.0229536457627538 i 13.7460396897 0.006
0.995870253580143 i 13.7764129842 0.006
2.97214934395457 i 13.8267461424 0.007
4.93774654289343 i 13.8890311732 0.005
9.88974223212718 i 14.2002954651 0.006
12.8821523915399 i 14.3203582142 0.007
13.8752503216792 i 14.3036587604 0.006
16.8472506159861 i 14.2094201923 0.007
18.8224764221803 i 14.0891529761 0.006
19.7747844320259 i 14.0536621332 0.007
