Phase Band Mag Sigma
-1.90572719628579 B 18.3358380549 0.059
-0.982333606331701 B 18.3117956428 0.035
1.97449054872872 B 18.3277300855 0.081
2.9470008189951 B 18.3223968129 0.047
4.90184469559319 B 18.7490895339 0.113
6.86651190825659 B 18.8676431835 0.11
8.7820624406077 B 19.1035017133 0.215
10.7270829811405 B 19.0863081855 0.22
14.715357422852 B 19.8879566427 0.343
16.6898479715736 B 19.8447131199 0.282
-3.96862776958808 V 17.5126032592 0.052
-3.04523417963399 V 17.4726259301 0.026
-0.0884100245735698 V 17.266027229 0.023
0.884100245692813 V 17.2508358102 0.042
2.8389441222909 V 17.4100645503 0.044
4.8036113349543 V 17.5735865338 0.037
6.7191618673054 V 17.9673670386 0.107
8.66418240783817 V 17.948533025 0.111
12.6524568495497 V 18.4634469245 0.155
14.6269473982713 V 18.4938622733 0.11
16.5817912748765 V 18.834465642 0.085
18.5366351514746 V 18.9252231312 0.114
20.5307723723268 V 18.909883891 0.121
23.4777731913219 V 19.205178408 0.102
26.3363639857506 V 19.3374738 0.075
29.3619514932468 V 19.4867708109 0.123
35.1871897787941 V 19.7203906857 0.307
-4.75449465464915 R 17.3253467674 0.047
-3.83110106469506 R 17.2627612452 0.013
-0.874276909634642 R 17.0432872025 0.038
0.0982333606317406 R 16.9852466385 0.029
2.05307723722982 R 17.10837402 0.01
4.01774444989323 R 17.1709231641 0.028
5.93329498224433 R 17.5081842599 0.051
7.8783155227771 R 17.4757481074 0.063
11.8665899644887 R 17.9977377498 0.089
13.8410805132102 R 18.1375107151 0.046
15.7959243898155 R 18.318793846 0.058
17.7507682664136 R 18.4427738686 0.05
19.7449054872658 R 18.5285889037 0.063
22.6919063062609 R 18.8096272697 0.061
25.5504971006895 R 18.9136838182 0.09
34.401322893733 R 19.4456316664 0.189
-5.82523828554727 I 17.1962041963 0.083
-4.90184469559319 I 17.1451021709 0.023
-1.94502054053277 I 16.8898795444 0.044
-0.972510270266383 I 16.8359699156 0.018
0.982333606331701 I 16.8288742237 0.032
2.9470008189951 I 16.8212536285 0.03
4.86255135134621 I 17.060260188 0.067
6.80757189187897 I 17.1455692563 0.045
12.7703368823121 I 17.5068987983 0.075
14.7251807589173 I 17.729673459 0.054
16.6800246355154 I 17.8875587711 0.071
18.6741618563676 I 18.0689263359 0.117
21.6211626753627 I 18.2157043938 0.061
24.4797534697914 I 18.3067308087 0.075
27.5053409772876 I 18.6117293678 0.098
33.3305792628349 I 18.676765132 0.163
