Phase Band Mag Sigma
-6.68230240228948 B 16.3957500164 0.009
-4.8511248487539 B 16.2087724026 0.008
-1.8332533744102 B 16.0233625862 0.005
1.17499294935404 B 16.0044924996 0.007
5.04846491460019 B 16.1374188563 0.006
7.92884263065002 B 16.3020365143 0.008
9.900980171678 B 16.4281959412 0.008
13.8434535978668 B 16.7582526963 0.009
14.7941697680178 B 16.8493549779 0.008
18.6031639951618 B 17.2292542963 0.013
19.6687357261105 B 17.3480266047 0.012
23.7380888076218 B 17.732734959 0.021
29.564340305042 B 18.2317869425 0.011
30.3887153583098 B 18.2742899174 0.009
31.4784723608012 B 18.3510239312 0.014
35.4065912897984 B 18.6124488647 0.014
45.176735996565 B 18.9828588797 0.024
50.0346855960352 B 18.9911913499 0.076
51.9351485671463 B 19.1210044726 0.025
57.8435320717321 B 19.2296495434 0.022
65.616071265292 B 19.3202799809 0.024
71.5580204017976 B 19.4086716388 0.026
95.9843907043284 B 19.664 0.031
103.804448571089 B 19.989 0.129
-10.0114490921283 V 16.2655246809 0.008
-8.18027153859273 V 16.0867910422 0.007
-5.16240006424903 V 15.8714676298 0.006
-2.15415374048478 V 15.8248825658 0.006
1.71931822476137 V 15.8430368204 0.005
4.5996959408112 V 15.9352386454 0.01
6.57183348183917 V 15.9991005614 0.007
10.514306908028 V 16.2013345149 0.008
15.2740173053229 V 16.4855260447 0.008
16.3395890362716 V 16.5310619994 0.008
20.408942117783 V 16.6536082888 0.015
26.2351936152032 V 17.0668133274 0.014
27.059568668471 V 17.0259797253 0.004
28.1493256709623 V 17.0897243653 0.009
32.0774445999595 V 17.3591028714 0.009
41.8475893067261 V 17.8115489424 0.014
46.7055389061964 V 17.9526184459 0.033
48.6060018773075 V 17.9870993641 0.015
54.5143853818933 V 18.144785561 0.014
62.2869245754532 V 18.3352503902 0.015
68.2288737119588 V 18.5279732695 0.018
77.9686938090243 V 18.799 0.02
92.6552440144896 V 19.137 0.023
-11.7395895556122 r 16.8748207417 0.014
-8.73854006366261 r 16.3411474472 0.008
-6.90736251012704 r 16.1610673186 0.006
-3.88949103578334 r 16.0001738058 0.007
-0.881244712019093 r 15.9319582906 0.007
2.99222725322706 r 15.95960577 0.004
5.87260496927689 r 16.0553931283 0.006
7.84474251030486 r 16.1483566588 0.006
11.7872159364936 r 16.4365276404 0.008
16.5469263337886 r 16.6027272783 0.006
17.6124980647373 r 16.6220853147 0.006
21.6818511462487 r 16.6385043147 0.016
27.5081026436689 r 16.8520682976 0.011
28.3324776969367 r 16.781046698 0.006
33.3503536284252 r 17.0628915177 0.007
37.270884061287 r 17.3414608226 0.011
43.1204983351918 r 17.6209566211 0.009
47.9784479346621 r 17.7634236588 0.017
49.8789109057732 r 17.8523395554 0.011
55.787294410359 r 18.036337937 0.012
63.5598336039189 r 18.2585505417 0.013
69.5017827404245 r 18.4565345539 0.013
79.2416028374899 r 18.578 0.015
93.9281530429553 r 19.008 0.018
-4.65321686965597 i 16.5730972088 0.01
-2.8220393161204 i 16.3927463353 0.008
0.195832158223299 i 16.3335725621 0.008
3.20407848198754 i 16.3616486016 0.007
7.0775504472337 i 16.5033961459 0.006
9.95792816328352 i 16.5854766904 0.01
11.9300657043115 i 16.6862461677 0.008
15.8725391305003 i 16.8686531234 0.01
20.6322495277953 i 16.8602920956 0.009
21.697821258744 i 16.8349410764 0.01
25.7671743402553 i 16.7208468199 0.016
31.5934258376755 i 16.8192185926 0.014
32.4178008909433 i 16.7134816674 0.006
37.4356768224319 i 16.9161714301 0.009
41.3562072552936 i 17.1712210915 0.012
47.2058215291985 i 17.5409779353 0.014
52.0637711286687 i 17.6484975631 0.023
53.9642340997798 i 17.8672703349 0.013
59.8726176043656 i 18.136790205 0.017
67.6451567979255 i 18.4619122622 0.02
73.5871059344311 i 18.6809458466 0.017
83.3269260314966 i 18.987 0.022
98.0134762369619 i 19.425 0.036
