Phase Band Mag Sigma
-3.32379254325312 B 17.5556162146 0.072
-1.38817217982694 B 17.4876963573 0.054
0.586551625278289 B 17.3802183106 0.069
2.52217198870446 B 17.4680808628 0.066
4.46756821254685 B 17.5080374282 0.057
6.38363685512638 B 17.6510797666 0.063
8.45611926445059 B 17.8766569728 0.095
10.2842051632416 B 18.0802059583 0.101
12.229601387084 B 18.3607233837 0.167
14.1847734713497 B 18.3370978198 0.138
16.1594972764549 B 18.6940467521 0.095
18.0951176398811 B 18.9218740774 0.101
20.0796173054096 B 19.4239394438 0.17
21.9859100875658 B 19.3956762642 0.218
-4.69241300223342 V 17.0282987051 0.052
-2.75679263880724 V 16.9197376747 0.039
-0.782068833702014 V 16.8542170913 0.038
1.15355152972416 V 16.9178177545 0.044
3.09894775356655 V 16.9700638235 0.049
5.01501639614608 V 17.0283233556 0.061
7.08749880547029 V 17.1119763485 0.05
8.91558470426128 V 17.2300845849 0.054
10.8609809281037 V 17.353223509 0.089
12.8161530123694 V 17.4826263598 0.062
14.7908768174746 V 17.667857546 0.035
16.7264971809008 V 17.7111230543 0.042
18.7109968464293 V 17.8605726971 0.049
20.6172896285855 V 17.9423508996 0.055
23.5989270570936 V 17.946896278 0.172
27.509271225625 V 18.2415490977 0.138
30.3735983290745 V 18.4259466641 0.067
34.2937183580293 V 18.616041898 0.105
38.2138383869769 V 18.5373656448 0.109
42.0948549742454 V 18.7233088012 0.081
-4.69241300223342 R 16.8772135973 0.031
-2.75679263880724 R 16.8010916661 0.039
-0.782068833702014 R 16.7204882281 0.03
1.15355152972416 R 16.7678086214 0.036
3.09894775356655 R 16.8074106862 0.036
5.01501639614608 R 16.8394416229 0.031
7.08749880547029 R 16.9251064487 0.034
8.91558470426128 R 17.0294030379 0.044
10.8609809281037 R 17.1212770973 0.059
12.8161530123694 R 17.1241114801 0.05
14.7908768174746 R 17.2318619399 0.029
16.7264971809008 R 17.2947200191 0.044
18.7109968464293 R 17.4471079834 0.041
20.6172896285855 R 17.3821998196 0.035
23.5989270570936 R 17.5882495773 0.07
27.509271225625 R 17.748828318 0.119
30.3735983290745 R 17.9881973684 0.048
34.2937183580293 R 18.0867277298 0.084
38.2138383869769 R 18.2085695155 0.073
42.0948549742454 R 18.2662592085 0.052
-10.0398086527084 I 16.9783656322 0.047
-6.12946448417696 I 16.8504499503 0.035
-4.19384412075079 I 16.8310707489 0.062
-2.2484478969084 I 16.7801702913 0.056
-0.332379254328868 I 16.8415559066 0.07
1.74010315499534 I 16.8022958494 0.045
3.56818905378633 I 16.887459467 0.071
5.51358527762872 I 16.8509173177 0.053
9.44348116699965 I 16.9539694787 0.052
11.3791015304258 I 16.9679293072 0.055
13.3636011959544 I 16.9947928504 0.042
15.2698939781106 I 17.0033046339 0.043
18.2515314066186 I 17.1417767511 0.091
25.0262026785996 I 17.5422498243 0.061
28.9463227075543 I 17.7604280003 0.132
36.7474593237705 I 17.8760094417 0.064
