Phase Band Mag Sigma
-10.712879191723 B 16.2216029756 0.035
-9.99606189410661 B 15.9782390924 0.019
-7.80183557447202 B 15.5200360268 0.021
-6.93742581252104 B 15.3922403978 0.016
-6.91615299429841 B 15.4041786165 0.017
-5.90551718287376 B 15.2782365138 0.018
-3.91183927570782 B 15.1019123755 0.047
-2.99405086174142 B 15.0658237424 0.048
-2.01493106474376 B 15.0659496403 0.043
-0.983032265415314 B 14.9972427702 0.04
3.04213096984063 B 15.0368956495 0.014
4.01901928359853 B 15.0712215335 0.012
4.92583705747393 B 15.1831561251 0.02
5.94238089281825 B 15.1362137449 0.014
7.80403756674099 B 15.2665036852 0.012
8.85336552813483 B 15.3317535616 0.013
14.5974884736729 B 15.7913499686 0.014
18.597987429394 B 16.157590927 0.016
21.5355532571611 B 16.4098286255 0.031
22.5203746413043 B 16.4754807759 0.037
29.5076991716161 B 17.0704160917 0.091
30.4262740113893 B 17.2360536516 0.052
32.4206007198483 B 17.319205885 0.051
36.3303068155333 B 17.634734202 0.04
38.2028653172795 B 17.6643552398 0.044
41.3122455244042 B 17.7186826744 0.043
47.0893393721139 B 17.9183115972 0.05
65.817264006351 B 18.2195597957 0.074
68.6840711716601 B 18.2656584205 0.26
77.6248184378739 B 18.541 0.292
79.4000665756608 B 18.337 0.277
-13.0788707390853 V 16.2662988952 0.02
-13.0675560377065 V 16.255347351 0.043
-12.3500506175074 V 16.0243813653 0.017
-10.1558439585176 V 15.6248581664 0.016
-9.29142436624782 V 15.481053606 0.015
-9.27014171769921 V 15.4670904772 0.013
-8.25950590627457 V 15.3488412736 0.012
-6.26582799910863 V 15.2082149155 0.014
-5.34803958514223 V 15.127677929 0.018
-3.3370308191421 V 15.0638097384 0.02
0.688122585795012 V 14.9881515247 0.011
1.66503056019772 V 15.0033084148 0.01
2.57181884310949 V 15.0023278729 0.019
3.58837250877264 V 15.0380587093 0.011
5.45001935237654 V 15.0912707943 0.01
6.49936697441519 V 15.1495243894 0.012
12.2427919670375 V 15.4617678198 0.012
16.2439692150224 V 15.657911473 0.012
19.1815547034414 V 15.7325142444 0.017
20.1663564269327 V 15.7466309082 0.018
21.2240499929049 V 15.8201055985 0.017
22.1261000602955 V 15.8909997094 0.024
26.0433951650709 V 16.0231768843 0.021
27.1537006178893 V 16.0605178102 0.033
28.0722557970177 V 16.126795822 0.02
30.0666119964475 V 16.280602429 0.018
33.975600478579 V 16.5270600771 0.019
35.8481688106511 V 16.6429127248 0.021
38.9575588480947 V 16.7855048928 0.023
40.8792001508469 V 16.9982112134 0.11
40.8924907470757 V 16.903246708 0.069
44.7346428654856 V 16.9905040899 0.025
49.5659220493526 V 17.2335155685 0.045
49.6670367481723 V 17.2337395247 0.065
50.5653316323109 V 17.3097291339 0.043
50.6288748379514 V 17.3258021798 0.049
63.4625969906863 V 17.5715698594 0.043
66.3293844953506 V 17.7331169514 0.041
66.3617557478519 V 17.7213955245 0.034
75.2694338086557 V 17.952 0.049
77.0446819464426 V 18.011 0.076
85.9030707694591 V 18.282 0.052
86.8630116069603 V 18.363 0.064
87.8839495965309 V 18.283 0.066
88.9177554784561 V 18.362 0.055
89.8454725182956 V 18.364 0.051
92.7618540007452 V 18.544 0.076
96.6970108017862 V 18.635 0.07
97.6431007146634 V 18.576 0.061
100.689537365832 V 18.673 0.083
101.598429337789 V 18.673 0.089
104.62335724299 V 18.835 0.115
109.479978998663 V 18.985 0.185
114.372550244279 V 19.045 0.117
124.224843669563 V 19.328 0.125
-12.7733246503573 r' 16.4370434668 0.034
-12.0551311075683 r' 16.2019200051 0.014
-9.86090478793369 r' 15.7693201019 0.016
-8.99649502598271 r' 15.651228724 0.011
-8.97522220776008 r' 15.6382929252 0.012
-7.96458639633543 r' 15.5343479393 0.012
-5.97089865884351 r' 15.4005716355 0.012
-5.05312990552908 r' 15.4170340333 0.014
-3.04210147887699 r' 15.2779416131 0.02
0.983032265415314 r' 15.2468405353 0.01
1.95995007013685 r' 15.2759573422 0.011
2.86675801369343 r' 15.2994459914 0.019
3.88330184903775 r' 15.3266167519 0.012
5.74493886230852 r' 15.402620812 0.01
6.79427665402834 r' 15.4880416885 0.012
12.5370036937491 r' 15.8918407584 0.012
16.5388887249615 r' 16.0014388816 0.012
19.4764643830546 r' 15.9773593855 0.013
20.4612661065459 r' 16.005745777 0.015
21.5189596725252 r' 16.0134869642 0.016
22.4210097399158 r' 16.0675452594 0.017
26.3382950143652 r' 16.1090463312 0.015
27.4486102975096 r' 16.1469109115 0.025
28.3671851372828 r' 16.1266598973 0.016
30.3615020154159 r' 16.2116639468 0.016
34.2698318659354 r' 16.4769643974 0.013
36.1424100283264 r' 16.62186867 0.015
39.2517902354439 r' 16.7877726023 0.017
41.1867123041061 r' 16.9084672439 0.042
45.028864422516 r' 17.031745223 0.016
49.9612583052027 r' 17.3257567734 0.038
50.9231258859455 r' 17.295614032 0.029
63.7568185477168 r' 17.6830182251 0.028
66.6235962220622 r' 17.7226454515 0.028
66.6552990126184 r' 17.7854551386 0.024
75.5629574127775 r' 17.934 0.038
86.1966140342257 r' 18.367 0.039
87.1565647020457 r' 18.369 0.048
88.1774830309714 r' 18.378 0.051
89.2112790825778 r' 18.422 0.042
90.1390157830621 r' 18.446 0.047
93.055387435193 r' 18.484 0.048
96.9905540665527 r' 18.655 0.052
97.93664397943 r' 18.675 0.05
100.983060969954 r' 18.77 0.066
101.891972602555 r' 18.766 0.052
104.916890677438 r' 18.823 0.056
108.803682291019 r' 18.877 0.12
110.79734053754 r' 19.1 0.112
111.740333898785 r' 18.942 0.169
114.666083678727 r' 19.042 0.08
118.617126281169 r' 19.204 0.078
124.51838693433 r' 19.359 0.089
-8.12246137814967 i' 16.8391519782 0.033
-8.11408594324534 i' 16.7922415165 0.032
-7.39519444754764 i' 16.6389268911 0.02
-5.20098778855787 i' 16.2067012731 0.024
-4.33655836596922 i' 16.0992410824 0.022
-4.31529537806543 i' 16.1062594677 0.02
-3.30465956664078 i' 16.0101333219 0.018
-1.31098165947484 i' 15.9165624052 0.02
-0.393212906160404 i' 15.8753148787 0.019
1.61781552049169 i' 15.875759871 0.03
5.64294926478399 i' 15.9617198293 0.016
6.61987689983151 i' 16.0250578937 0.017
7.52665535241729 i' 16.1174249317 0.051
8.54324833937722 i' 16.0963891781 0.017
10.4048460313584 i' 16.1932216941 0.014
11.454193653397 i' 16.2465507124 0.021
17.1962522311798 i' 16.5904240803 0.019
21.1987958940114 i' 16.569177779 0.023
24.1363813824304 i' 16.4700814224 0.022
25.1211929362405 i' 16.4453600052 0.021
26.1788668415679 i' 16.4458502932 0.022
27.0809267392845 i' 16.4547351203 0.024
30.998212013741 i' 16.3335617397 0.021
32.1085174665595 i' 16.2851102611 0.033
33.0270824760067 i' 16.3171866679 0.019
35.0214386754365 i' 16.3470316026 0.016
38.9290804033662 i' 16.6050998932 0.02
40.8016487354312 i' 16.6903794737 0.018
43.9110191122299 i' 16.8835770488 0.022
45.8459510112181 i' 17.0377633312 0.046
49.688083468976 i' 17.2532488132 0.031
54.5193528225242 i' 17.5990233696 0.063
54.6205068426335 i' 17.4716438489 0.04
55.5823744233762 i' 17.661388488 0.031
68.4160375941839 i' 18.2325382275 0.059
71.282834929167 i' 18.227397278 0.054
71.3138397668145 i' 18.2423959 0.031
80.2214981669735 i' 18.479 0.059
90.8551646187478 i' 18.935 0.171
91.8151251168937 i' 19.054 0.183
92.8360237851747 i' 18.875 0.188
93.8698198367739 i' 19.144 0.187
97.7139281893891 i' 19.142 0.162
101.64908499043 i' 19.386 0.193
102.595194563959 i' 19.039 0.175
105.641601724157 i' 19.442 0.198
106.550523187078 i' 19.486 0.207
109.57544126196 i' 19.458 0.217
113.462213214896 i' 19.602 0.229
114.432053187307 i' 19.361 0.238
119.324634263249 i' 19.421 0.213
123.275696526343 i' 19.826 0.242
129.176937518852 i' 19.624 0.274
