Phase Band Mag Sigma
-3.91876138387548 B 15.9899338054 0.011
-1.79631979943018 B 15.5125528076 0.006
-0.894928214498128 B 15.3933052896 0.012
2.12548434037007 B 15.4504178422 0.012
6.09147804667066 B 16.1609969445 0.009
10.0951880053947 B 16.781788488 0.025
15.0548702264877 B 17.1675650422 0.027
16.1169213132194 B 17.2135350235 0.029
18.0421207191875 B 17.3424436549 0.027
20.9331763724676 B 17.4639604673 0.025
22.976625626512 B 17.5329236907 0.019
25.9560604128001 B 17.6521105581 0.022
29.9817756619515 B 17.7677402597 0.022
33.865455859815 B 17.8956658006 0.043
36.8051657770277 B 17.9950258146 0.044
41.8147949361372 B 18.135 0.061
45.7802516855154 B 18.241 0.039
48.7318044861011 B 18.335 0.024
49.7436699872912 B 18.36 0.04
53.8036410997634 B 18.376 0.033
55.7187675914926 B 18.505 0.03
57.709883432277 B 18.564 0.065
59.642580347952 B 18.639 0.08
67.6776634908706 B 18.74 0.039
72.5996294595473 B 19.013 0.048
76.6377046617081 B 19.128 0.045
79.4992276839107 B 19.409 0.178
82.5177509458787 B 19.297 0.067
85.5259228715037 B 19.05 0.066
92.420817750917 B 19.587 0.102
96.4039344170565 B 19.839 0.084
-5.74593631941766 V 15.4975790097 0.011
-3.62349473497236 V 14.9324359811 0.006
-2.72210315004031 V 14.7531926013 0.014
0.298309404827886 V 14.4914807262 0.01
4.26430311112848 V 14.759473599 0.006
8.26801306985252 V 15.2540111828 0.024
13.2276952909455 V 15.7711668816 0.022
14.2897463776772 V 15.8563496872 0.015
16.2149457836453 V 15.9912241226 0.021
19.1060014369254 V 16.1858159707 0.019
21.1494506909698 V 16.2991808972 0.013
24.1288854772579 V 16.4569784775 0.016
28.1546007264093 V 16.6770178953 0.014
32.0382809242728 V 16.8482388467 0.021
34.9779908414855 V 16.9544608485 0.044
39.987620000595 V 17.219 0.043
43.9530767499732 V 17.396 0.029
46.9046295505589 V 17.534 0.016
47.916495051749 V 17.536 0.033
51.9764661642212 V 17.659 0.02
53.8915926559504 V 17.747 0.022
55.8827084967348 V 17.829 0.051
57.8154054124098 V 17.978 0.063
65.8504885553284 V 18.223 0.032
70.7724545240052 V 18.424 0.058
74.8105297261659 V 18.648 0.057
77.6720527483685 V 18.795 0.06
80.6905760103365 V 18.856 0.068
83.6987479359615 V 18.888 0.056
90.5936428153748 V 19.164 0.131
94.5767594815143 V 19.367 0.087
-6.64086453390855 r 15.4408761247 0.007
-4.51842294946325 r 14.8722281681 0.004
-3.6170313645312 r 14.7116498214 0.013
-0.596618809663007 r 14.4499403506 0.016
3.36937489663758 r 14.5317501468 0.008
7.37308485536163 r 14.9272795566 0.014
12.3327670764546 r 15.4792736756 0.011
13.3948181631863 r 15.5709156947 0.009
15.3200175691544 r 15.6984803556 0.016
18.2110732224346 r 15.915746881 0.013
20.2545224764789 r 16.0565880018 0.009
23.233957262767 r 16.2365714312 0.009
27.2596725119184 r 16.4609371565 0.011
31.1433527097819 r 16.6977789903 0.013
34.0830626269947 r 16.8326072869 0.026
39.0926917861041 r 17.215 0.029
43.0581485354824 r 17.535 0.029
46.009701336068 r 17.653 0.018
47.0215668372581 r 17.715 0.021
51.0815379497303 r 17.942 0.024
52.9966644414595 r 18.073 0.024
54.987780282244 r 18.137 0.037
56.9204771979189 r 18.271 0.062
64.9555603408375 r 18.878 0.063
69.8775263095143 r 18.874 0.055
73.915601511675 r 19.08 0.083
76.7771245338776 r 19.373 0.084
79.7956477958456 r 19.592 0.095
82.8038197214706 r 19.521 0.079
89.6987146008839 r 19.907 0.114
93.6818312670234 r 20.153 0.127
-7.32545478705175 i 15.4303688023 0.008
-5.20301320260645 i 14.8977587047 0.006
-4.3016216176744 i 14.7434247721 0.011
-1.28120906280621 i 14.4675545704 0.013
2.68478464349438 i 14.4090853063 0.008
6.68849460221843 i 14.5881956228 0.015
11.6481768233114 i 15.1179564792 0.013
12.7102279100431 i 15.2350125956 0.009
14.6354273160112 i 15.3644758515 0.014
17.5264829692914 i 15.6036634739 0.018
19.5699322233357 i 15.7573834472 0.012
22.5493670096238 i 15.9932135142 0.016
26.5750822587752 i 16.295296409 0.011
30.4587624566387 i 16.487705358 0.012
33.3984723738515 i 16.6681032216 0.025
38.4081015329609 i 16.928 0.028
42.3735582823392 i 17.041 0.021
45.3251110829248 i 17.149 0.018
46.3369765841149 i 17.211 0.014
50.3969476965871 i 17.324 0.022
52.3120741883163 i 17.398 0.021
54.3031900291008 i 17.466 0.035
56.2358869447757 i 17.525 0.033
64.2709700876943 i 17.691 0.037
69.1929360563711 i 17.847 0.038
76.0925342807344 i 18.078 0.039
79.1110575427024 i 18.156 0.039
82.1192294683274 i 18.227 0.044
89.0141243477407 i 18.462 0.058
92.9972410138802 i 18.7 0.061
