Phase Band Mag Sigma
-1.98088441674165 B 18.0085465206 0.018
1.79444190301763 B 17.9893581245 0.031
3.7190469550179 B 18.0778227296 0.024
8.41280641846256 B 18.3509007276 0.017
12.1857055194333 B 18.7977088872 0.024
15.0289514926109 B 19.1437343887 0.029
18.8077816962871 B 19.4213277834 0.182
-2.6444406991846 V 17.8961099465 0.018
1.13088562057468 V 17.9515387839 0.034
3.05549067257496 V 17.9301333046 0.016
7.74925013601961 V 18.0608228285 0.023
11.5221492369903 V 18.3605854089 0.019
14.365395210168 V 18.4987821419 0.014
-4.53088080523569 r 18.0606439624 0.013
-0.755554485476405 r 18.0379435248 0.015
1.16905056652387 r 18.0613374393 0.012
5.86281002996852 r 18.2282947749 0.01
9.63570913093923 r 18.4685275011 0.021
12.4789551041169 r 18.6371794847 0.015
16.2577853077931 r 18.7456843947 0.019
-2.35866165948329 i 18.3107938416 0.024
1.41666466027599 i 18.2657112685 0.035
3.34126971227626 i 18.2719129476 0.022
8.03502917572092 i 18.6033068409 0.02
11.8079282766916 i 18.8477423598 0.051
14.6511742498693 i 18.9618060803 0.031
18.4300044535455 i 19.0306290008 0.035
