Phase Band Mag Sigma
-6.03727927394617 B 16.1583654763 0.019
-5.2211107822824 B 16.0860271916 0.018
-5.15563776265089 B 16.064663861 0.022
-4.14625628884268 B 15.9920799928 0.018
-3.1393903521731 B 15.9258461489 0.016
-3.07500246621162 B 15.9367607825 0.018
-2.28063529643988 B 15.899718102 0.015
-2.26258261812937 B 15.9197192594 0.02
-1.20266350991522 B 15.8647882903 0.016
-0.210052283714616 B 15.8719781867 0.015
-0.197297030676817 B 15.8639557351 0.015
4.63382657591319 B 15.9764553347 0.015
6.71137417381777 B 16.0569841833 0.016
8.64047548584231 B 16.1689631084 0.015
9.57429219689987 B 16.2368179225 0.016
9.67888921771732 B 16.2284780263 0.016
10.6117490381751 B 16.2964489772 0.016
12.6461181809188 B 16.4814697176 0.016
13.4819867810972 B 16.5657302506 0.019
14.5398934596062 B 16.6228378759 0.018
14.5530630363979 B 16.6657714446 0.017
22.3510999309483 B 17.3512716531 0.022
24.4902929860926 B 17.5235356385 0.022
26.2898589326202 B 17.6781815042 0.022
30.2005820262372 B 17.9464191366 0.026
32.2078820163736 B 18.0340135507 0.032
34.1550162770061 B 18.2331257497 0.025
41.0597415408863 B 18.7755530094 0.054
43.0446285883367 B 18.7938165581 0.176
50.0127256584781 B 18.9354516549 0.056
50.9130807931307 B 18.9981763329 0.054
51.9422018348586 B 18.8653414365 0.04
53.9637269409065 B 18.9231249115 0.043
57.8430798066485 B 18.903370976 0.045
59.8036598599159 B 18.9492452634 0.049
64.8130018743242 B 19.2254283485 0.058
65.7617441057525 B 19.1871647522 0.051
67.7035612114025 B 19.0656004836 0.056
81.5610338364374 B 19.608 0.111
88.4445200749739 B 19.604 0.076
-8.99409095393975 V 15.7695435413 0.014
-8.17791259742111 V 15.7369774929 0.019
-8.11244944264447 V 15.715234321 0.018
-7.10305810398139 V 15.6221695474 0.016
-7.03696359870099 V 15.6420690341 0.018
-6.09619216731181 V 15.5506223536 0.014
-6.03180428135033 V 15.5512988628 0.013
-5.23745684128116 V 15.5013156016 0.012
-5.21939429812296 V 15.5452549709 0.02
-4.15946532505393 V 15.4677070193 0.016
