Phase Band Mag Sigma
-5.22112171936877 B 17.1058617355 0.022
-2.35097413254945 B 16.6955067899 0.02
-0.391829022092762 B 16.5807666145 0.024
1.55752036280964 B 16.6822696696 0.05
5.46601485816873 B 16.9978402069 0.03
7.4349556941797 B 17.3162078995 0.065
9.39410080463638 B 17.4769207707 0.038
15.2715361360064 B 18.3742315573 0.046
19.1996220824741 B 18.7966955655 0.344
-7.66025738187822 V 16.9499909092 0.019
-4.7901097950589 V 16.5950549604 0.018
-2.83096468460221 V 16.4089494009 0.038
-0.881615299699806 V 16.3797305419 0.172
3.02687919565928 V 16.4125090186 0.053
4.99582003167025 V 16.5753985873 0.028
6.95496514212693 V 16.7652996835 0.096
12.832400473497 V 17.1548266797 0.036
16.7604864199646 V 17.5399662516 0.031
27.5455802530236 V 18.3010272317 0.103
30.4842979187086 V 18.6054443903 0.135
33.4230155843936 V 18.7785945339 0.152
-6.10273701907571 R 16.7924230529 0.029
-3.23258943225638 R 16.4466909923 0.018
-1.2734443217997 R 16.3371281499 0.045
0.67590506310271 R 16.3668868783 0.193
4.5843995584618 R 16.409270096 0.084
6.55334039447276 R 16.6119871361 0.036
8.51248550492945 R 16.6491951853 0.033
14.3899208362995 R 16.8798647989 0.021
18.3180067827671 R 17.1403778768 0.022
29.1031006158261 R 18.0185961854 0.087
32.0418182815111 R 18.0652611019 0.047
34.9805359471961 R 18.2478297177 0.092
40.8579712785662 R 18.409 0.068
-5.31907897489018 I 16.8503380825 0.034
-2.44893138807086 I 16.5023589158 0.02
-0.489786277614171 I 16.4697870832 0.023
1.45956310728823 I 16.5238455723 0.263
5.36805760264732 I 16.5841743668 0.038
7.33699843865829 I 16.7200318267 0.078
9.29614354911497 I 16.6441750235 0.06
15.173578880485 I 16.577132421 0.026
19.1016648269527 I 16.7656989439 0.03
29.8867586600116 I 17.7928377409 0.113
32.8254763256966 I 17.7854472209 0.08
