Phase Band Mag Sigma
-2.63271078523222 B 16.4461793225 0.008
2.3811071316575 B 16.3968333289 0.01
6.25407709408855 B 16.9931821106 0.011
9.27230896650146 B 17.5110311961 0.015
19.1286439847139 B 18.4031557643 0.071
25.0602794880674 B 18.5171847511 0.026
31.0133945619924 B 18.6931383753 0.039
35.9696789778124 B 18.8951175118 0.045
40.9396547596472 B 19.04 0.037
46.8753083812741 B 19.224 0.036
50.8416673496696 B 19.292 0.04
57.7871683483985 B 19.336 0.074
-4.41854113397714 V 15.8643173078 0.006
0.59527678291257 V 15.472588194 0.006
4.46824674534363 V 15.7237919238 0.006
7.48647861775653 V 16.1078690488 0.008
17.3428136359689 V 17.0677918081 0.016
23.2744491393225 V 17.3514900982 0.016
29.2275642132475 V 17.5942626869 0.019
34.1838486290674 V 17.8517602693 0.019
39.1538244109022 V 18.126 0.022
45.0894780325292 V 18.368 0.026
49.0558370009247 V 18.43 0.024
56.0013379996536 V 18.664 0.042
-5.31145630834239 r 15.8469114007 0.007
-0.297638391452676 r 15.4341190434 0.005
3.57533157097838 r 15.5474080697 0.005
6.59356344339128 r 15.8347351717 0.006
16.4498984616037 r 16.7684611779 0.012
22.3815339649573 r 17.1180717273 0.011
28.3346490388823 r 17.3531822872 0.013
33.2909334547022 r 17.6294000489 0.016
38.260909236537 r 17.915 0.019
44.196562858164 r 18.276 0.023
48.1629218265594 r 18.445 0.028
55.1084228252883 r 18.72 0.037
-8.48993669070999 i 16.0253024448 0.009
-3.47611877382027 i 15.5294053432 0.006
0.396851188610786 i 15.4413495562 0.008
3.41508306102369 i 15.5282291705 0.008
13.2714180792361 i 16.5236791594 0.016
19.2030535825897 i 16.8795151905 0.012
24.201979658624 i 17.2067675148 0.019
30.1124530723346 i 17.5861865133 0.019
35.0824288541694 i 17.711 0.024
41.0180824757964 i 18.13 0.029
44.9844414441918 i 18.255 0.031
51.9299424429207 i 18.352 0.045
