Phase Band Mag Sigma
-2.3147688339723 B 17.8840610645 0.017
0.577433883818902 B 17.8149985922 0.014
3.46928051737324 B 18.0008883185 0.015
5.4184663355967 B 18.1969301614 0.014
6.34657581706579 B 18.3324487904 0.013
10.1451668783884 B 18.9168383593 0.017
14.0143684798025 B 19.4805535431 0.046
15.9048100242448 B 19.7270079598 0.03
20.7832024483143 B 20.0994470213 0.061
26.4620240982361 B 20.5379974163 0.261
29.398612233896 B 20.4721249964 0.115
31.3204469338203 B 20.5674213143 0.112
34.1532413288632 B 20.6744831665 0.069
37.0120587442711 B 20.6921672293 0.054
44.7421276513767 B 21.041 0.095
47.5946702852445 B 21.035 0.168
56.1709108057093 B 20.876 0.231
-5.30285444816196 V 17.6145544591 0.014
-2.41065173037075 V 17.4366727477 0.011
0.481194903183585 V 17.3864053984 0.011
2.43038072140705 V 17.4363117925 0.009
3.35849020287613 V 17.4642537878 0.009
7.15708126419875 V 17.8740186862 0.01
11.0262828656128 V 18.2728379445 0.015
12.9167244100552 V 18.4439766815 0.013
17.7951168341247 V 18.8745857102 0.03
23.4739384840464 V 19.1372716247 0.082
26.4105266197064 V 19.4550566784 0.05
28.3323613196306 V 19.4859127652 0.046
31.1651557146736 V 19.5562218131 0.036
34.0239731300815 V 19.7275609898 0.032
41.754042037187 V 20.169 0.049
44.6065846710549 V 20.328 0.083
53.1828251915196 V 20.505 0.137
-5.20661546752664 r 17.720551062 0.016
-2.31441274973544 r 17.5437663529 0.014
0.577433883818902 r 17.4570887326 0.014
2.52661970204237 r 17.5332647907 0.017
3.45472918351145 r 17.5800860146 0.024
7.25332024483407 r 17.8244910658 0.028
11.1225218462482 r 18.0471501888 0.026
13.0129633906905 r 18.1194929785 0.032
17.89135581476 r 18.4615485516 0.036
23.5701774646817 r 19.0153840083 0.046
26.5067656003417 r 19.0022554401 0.047
28.4286003002659 r 19.0483680649 0.055
31.2613946953089 r 19.1724996007 0.059
41.8502810178223 r 19.173 0.082
44.7028236516902 r 19.532 0.072
53.2790641721549 r 19.561 0.097
-3.08468067906184 i 17.8058160016 0.022
-0.192477961270633 i 17.7115797369 0.022
2.6993686722837 i 17.74438871 0.025
4.64855449050717 i 17.805699497 0.03
5.57666397197625 i 17.8752261917 0.032
9.37525503329887 i 17.8627359042 0.037
13.244456634713 i 17.9651414033 0.031
15.1348981791553 i 17.9487095201 0.038
20.0132906032248 i 18.1733975325 0.038
25.6921122531465 i 18.6847297727 0.045
28.6287003888065 i 18.8618337353 0.061
30.5505350887307 i 18.8798143981 0.072
33.3833294837737 i 19.1128960865 0.076
55.4009989606197 i 19.451 0.129
