Phase Band Mag Sigma
-8.14068716444888 B 17.7282736987 0.016
-7.1183877834928 B 17.4562974525 0.015
-3.30746881690013 B 16.7899416741 0.013
-1.35674727539437 B 16.6574298819 0.012
2.56997007115049 B 16.6953305245 0.013
3.56759603380115 B 16.7295899117 0.012
4.47495953842595 B 16.7520370679 0.011
6.40882834056712 B 16.8608775988 0.013
28.7148777100515 B 19.1678188254 0.095
31.5990801412399 B 19.3647829864 0.159
-10.032293288961 V 17.674212787 0.019
-9.00999390800487 V 17.3989949244 0.016
-5.19906525035695 V 16.8331795031 0.012
-3.2483437088512 V 16.6796312626 0.012
0.678373637693661 V 16.6119707244 0.013
1.67598990928907 V 16.6316761919 0.013
2.58333403181043 V 16.6573845283 0.01
4.51723190710325 V 16.7418352221 0.012
26.8088513002171 V 18.1422463377 0.026
26.8225932119048 V 18.1482067322 0.032
29.706785952038 V 18.3368749986 0.044
30.6930636928363 V 18.3507953333 0.052
-8.12261335253203 r' 17.7583451876 0.016
-7.10029458947251 r' 17.4666810839 0.014
-3.28939500498328 r' 16.891338664 0.012
-1.33863469927064 r' 16.8220490304 0.013
2.58806326517783 r' 16.8054402635 0.013
3.58568922782144 r' 16.7993794671 0.012
4.4930236592946 r' 16.8224344785 0.011
6.42690215248397 r' 16.9373566735 0.013
28.7178625540595 r' 17.9676278562 0.019
28.7316044657472 r' 18.021755409 0.022
31.6157972058804 r' 18.233523691 0.026
32.6020749466787 r' 18.3547076005 0.027
-6.39635595667972 i' 18.03601497 0.021
-5.3740468846684 i' 17.7474240993 0.017
-1.56313760913097 i' 17.3166182542 0.018
0.387642078685114 i' 17.2813603499 0.017
4.31432066102308 i' 17.4051289076 0.023
5.31194662367374 i' 17.3705639119 0.014
6.21930043725035 i' 17.4473904825 0.015
8.15317893043972 i' 17.584254263 0.025
30.4434415762701 i' 17.8823713511 0.021
30.4571834879649 i' 17.890279015 0.03
33.3413665370428 i' 18.1728993134 0.034
34.3276636599446 i' 18.1927279884 0.034
