Phase Band Mag Sigma
-8.41945214127948 B 16.655182927 0.008
-2.4764595330276 B 16.0010693578 0.011
0.492539595346727 B 15.9483544298 0.007
2.42377749790703 B 15.9765245387 0.006
4.4462534351124 B 16.055262498 0.007
5.38836347150386 B 16.0990423604 0.006
8.30904446558041 B 16.2526376531 0.009
12.2544343861836 B 16.5501351453 0.007
16.2264706988992 B 16.9456822304 0.008
19.1247214397933 B 17.2084501576 0.01
28.0452735145818 B 18.082632783 0.022
31.909817986008 B 18.3467338805 0.023
-10.2911026035913 V 16.4097582227 0.008
-4.34810999533942 V 15.7224245456 0.007
-1.3791108669651 V 15.6462623502 0.007
0.552127035595205 V 15.652774713 0.006
2.57460297280057 V 15.6712688019 0.006
3.51671300919203 V 15.6971459834 0.006
6.43739400326858 V 15.8046988912 0.009
10.3827839238717 V 15.9942083839 0.006
14.3548202365873 V 16.2197238744 0.006
17.2530709774815 V 16.3467710014 0.008
26.17362305227 V 16.7847012412 0.008
30.0381675236961 V 17.0121301251 0.01
-10.0940867654627 r 16.3526125226 0.006
-4.15109415721077 r 15.7867913484 0.009
-1.18209502883645 r 15.7243837433 0.005
0.749142873723862 r 15.7268050817 0.004
2.77161881092923 r 15.7775140283 0.004
3.71372884732068 r 15.7995542107 0.004
6.63440984139724 r 15.9407440758 0.007
10.5797997620004 r 16.2382612802 0.006
14.551836074716 r 16.4604996429 0.005
17.4500868156101 r 16.5199614735 0.005
26.3706388903986 r 16.6211858792 0.006
30.2351833618248 r 16.7426336929 0.006
-5.7459767701089 i 16.4405946863 0.006
0.197015838142991 i 15.9993754203 0.014
3.16601496651731 i 16.0175365208 0.006
5.09725286907762 i 16.1036104469 0.005
7.11972880628299 i 16.2154347389 0.007
8.06183884267444 i 16.2507303241 0.006
10.982519836751 i 16.3798487224 0.01
14.9279097573542 i 16.6683287333 0.009
18.8999460700697 i 16.8273555015 0.007
21.7981968109639 i 16.7487606256 0.009
30.7187488857524 i 16.5615688647 0.008
34.5832933571785 i 16.5865624035 0.009
