Phase Band Mag Sigma
-3.21063492194964 B 15.9933794725 0.012
0.683113813177754 B 15.8840718702 0.011
2.54703864628111 B 15.958211122 0.017
9.34890047180902 B 16.3507051133 0.01
11.349448067555 B 16.4987090055 0.018
13.3207193570159 B 16.6682705972 0.015
15.2627143402058 B 16.9077436901 0.018
17.194950554627 B 17.1259728818 0.017
20.0933048762658 B 17.4985061392 0.027
23.0502118104606 B 17.7511678692 0.037
25.9876012071392 B 18.0402953099 0.042
28.8957142975326 B 18.3437118725 0.089
34.760734322128 B 18.6958521696 0.086
38.605689213461 B 18.8194230774 0.059
42.4994379485884 B 18.8852198386 0.052
46.4322217587555 B 18.8516582365 0.043
50.2771766500886 B 19.0468279478 0.068
54.1904429227394 B 19.174118096 0.062
61.9779403929942 B 19.2221187279 0.112
65.861930359367 B 19.2666627407 0.113
71.7464679214787 B 19.188 0.076
75.6304578878444 B 19.471 0.1
-6.04067786226357 V 16.0598845987 0.011
-4.15723549163679 V 15.9576399793 0.01
-2.14692912713617 V 15.8731420423 0.011
-0.283004294032812 V 15.8760361716 0.014
6.51885753149509 V 16.0829552898 0.014
8.5194051272411 V 16.1644932475 0.015
10.490676416702 V 16.2886712145 0.014
12.4326713998919 V 16.4193617392 0.012
14.3649076143131 V 16.5152546405 0.013
17.2632619359519 V 16.7074192634 0.015
20.2201688701467 V 16.8635525701 0.016
23.1575582668253 V 17.0511641801 0.016
26.0656713572187 V 17.2234816399 0.03
31.930691381814 V 17.557837961 0.044
35.7756462731471 V 17.8236598957 0.043
39.6693950082745 V 17.935034927 0.033
43.6021788184416 V 18.0425834734 0.042
47.4471337097747 V 18.178724887 0.037
51.3603999824255 V 18.1663742975 0.036
59.1478974526803 V 18.4700567065 0.081
63.0318874190531 V 18.6700371629 0.075
68.9164249811648 V 18.797 0.046
72.8004149475304 V 18.929 0.061
-5.1623886738942 R 16.1335589518 0.01
-3.27894630326742 R 16.0530502837 0.01
-1.2686399387668 R 15.9948536082 0.01
0.595284894336557 R 16.0089704544 0.013
7.39714671986446 R 16.2681175271 0.013
9.39769431561047 R 16.4081016341 0.016
11.3689656050713 R 16.5432815515 0.011
13.3109605882613 R 16.6608579643 0.012
15.2431968026824 R 16.695181238 0.015
18.1415511243212 R 16.7592325462 0.017
21.0984580585161 R 16.8226419339 0.016
24.0358474551946 R 16.9095424739 0.012
26.943960545588 R 17.0077693879 0.019
32.8089805701834 R 17.3967584597 0.033
36.6539354615165 R 17.6323590059 0.021
40.5476841966438 R 17.8077176266 0.03
44.480468006811 R 17.9725810384 0.035
48.325422898144 R 18.1295735495 0.039
52.2386891707948 R 18.2184525919 0.035
60.0261866410496 R 18.4291493355 0.086
63.9101766074224 R 18.6037914547 0.051
69.7947141695341 R 18.697 0.057
73.6787041358998 R 18.822 0.057
-1.88344237062678 I 16.2312562539 0.034
0 I 16.1696576006 0.019
2.01030636450062 I 16.2166233742 0.021
3.87423119760398 I 16.2823404652 0.038
10.6760930231319 I 16.6337882184 0.049
12.6766406188779 I 16.7421134851 0.02
14.6479119083388 I 16.8021353194 0.034
16.5899068915287 I 16.8215987081 0.02
18.5221431059498 I 16.7805024723 0.031
21.4204974275886 I 16.7176594321 0.025
24.3774043617835 I 16.7061906833 0.025
27.314793758462 I 16.6849813012 0.023
30.2229068488555 I 16.7036720682 0.042
36.0879268734508 I 17.0187432399 0.039
39.9328817647839 I 17.3125216667 0.049
43.8266304999113 I 17.5002940586 0.049
47.7594143100784 I 17.6142057709 0.088
51.6043692014115 I 17.8562189844 0.051
55.5176354740623 I 18.101378658 0.058
63.3051329443171 I 18.5741366919 0.148
67.1891229106898 I 18.5327737023 0.118
73.0736604728015 I 18.597 0.175
76.9576504391672 I 19.013 0.112
