Phase Band Mag Sigma
-3.70177934513638 B 15.7761009209 0.019
-0.592284695220384 B 15.5873777905 0.015
3.2575658237157 B 15.7290996866 0.015
5.18249108319093 B 16.0219037764 0.016
7.24561610487683 B 16.3319131262 0.015
9.16066995276301 B 16.6409105482 0.028
11.0658523890602 B 16.9585066412 0.03
13.1980772918622 B 17.2338733324 0.053
16.9886993412784 B 17.7804417024 0.072
20.9372639760905 B 18.0819270446 0.077
22.9115462934966 B 18.1731829463 0.064
24.9055714340735 B 18.3765702815 0.06
26.8699823398977 B 18.4408886364 0.056
28.7949075993658 B 18.5225121665 0.047
30.7593185051828 B 18.6419238163 0.053
33.779970450819 B 18.6069065817 0.052
36.72165110375 B 18.6970031998 0.058
39.7028174030372 B 18.822 0.143
52.5652667009366 B 18.882 0.187
55.3786190032388 B 18.98 0.069
59.3666692843999 B 19.074 0.08
63.2856196844521 B 19.13 0.127
67.2539271424351 B 19.081 0.119
-4.59020638796336 V 15.7428334877 0.015
-2.56656701262645 V 15.5153409457 0.013
-1.48071173804737 V 15.4846707277 0.012
2.36913878088872 V 15.457350708 0.01
4.29406404036395 V 15.5342677188 0.01
6.35718906204984 V 15.7000907361 0.011
8.27224290993603 V 15.863939367 0.014
10.1774253462332 V 16.0092285285 0.011
12.3096502490352 V 16.1416390744 0.013
16.1002722984514 V 16.4659833144 0.018
20.0488369332635 V 16.9542787821 0.035
22.0231192506696 V 17.0392889154 0.034
24.0171443912465 V 17.1458868508 0.024
25.9815552970708 V 17.2728243436 0.032
27.9064805565388 V 17.3778907223 0.03
29.8708914623558 V 17.5090461843 0.036
32.891543407992 V 17.5588257242 0.032
35.833224060923 V 17.7214751979 0.03
38.8143903602102 V 17.859 0.07
51.6768396581096 V 18.105 0.091
54.4901919604118 V 18.271 0.044
58.4782422415729 V 18.39 0.051
62.3971926416251 V 18.485 0.071
-4.09663580860466 R 15.567266338 0.017
-2.07299643326775 R 15.4081387601 0.01
-0.98714115868867 R 15.3756125002 0.013
2.86270936024742 R 15.3648596993 0.013
4.78763461972265 R 15.5220410072 0.014
6.85075964140854 R 15.6828199293 0.012
8.76581348929473 R 15.8013401547 0.012
10.6709959255919 R 15.8803456381 0.013
12.8032208283939 R 15.9366265421 0.019
16.5938428778101 R 16.0844914479 0.012
20.5424075126222 R 16.5892690892 0.026
22.5166898300283 R 16.6584376012 0.021
24.5107149706052 R 16.7349729922 0.02
26.4751258764295 R 16.9092364544 0.017
28.4000511358975 R 17.0078212169 0.019
30.3644620417145 R 17.1716821221 0.9
33.3851139873507 R 17.2140961798 0.033
36.3267946402817 R 17.3627953984 0.028
52.1704102374683 R 17.838 0.065
54.9837625397705 R 17.947 0.056
58.9718128209316 R 18.117 0.038
62.8907632209838 R 18.238 0.093
66.8590706789669 R 18.354 0.051
70.7582782558482 R 18.592 0.08
-3.40563699752978 I 15.749466846 0.045
-1.38199762219287 I 15.5979556682 0.019
-0.296142347613783 I 15.5487786537 0.019
3.55370817132231 I 15.5916684331 0.011
5.47863343079753 I 15.7277536932 0.021
7.54175845248343 I 15.812286664 0.017
9.45681230036961 I 15.836190239 0.019
11.3619947366668 I 15.8229884169 0.017
13.4942196394688 I 15.7308948899 0.046
17.284841688885 I 15.8122825685 0.018
21.2334063236971 I 16.2123194646 0.037
23.2076886411032 I 16.3095101187 0.037
25.2017137816801 I 16.474562279 0.035
27.1661246875043 I 16.6263384928 0.031
29.0910499469724 I 16.8029548613 0.033
31.0554608527894 I 17.0240923883 0.036
34.0761127984256 I 17.1057869051 0.033
37.0177934513566 I 17.2904198072 0.046
52.8614090485432 I 17.893 0.109
55.6747613508454 I 18.043 0.122
59.6628116320065 I 18.31 0.079
63.5817620320587 I 18.341 0.149
67.5500694900417 I 18.476 0.098
