Phase Band Mag Sigma
-1.75453882820242 B 16.9861224261 0.0248
1.09673572448708 B 17.0071742202 0.0241
2.11422639947607 B 16.9849814095 0.0267
4.9699600478367 B 17.1058075389 0.0277
5.97935900178935 B 17.1179104081 0.0275
6.86723798836909 B 17.1745515777 0.0307
11.7257398644714 B 17.5200548163 0.0361
12.6296004806055 B 17.7010353187 0.0779
15.5886813594247 B 17.7894080532 0.079
19.3510145081299 B 18.2377231304 0.1838
21.3409916661528 B 18.4623393792 0.0941
22.3259232545873 B 18.5234054486 0.1595
23.2300625641978 B 18.5021700049 0.0878
24.195956504919 B 18.7828267747 0.1125
25.2341858188564 B 18.5924333118 0.1668
26.0784156404049 B 18.9011166459 0.1356
28.0901597202284 B 19.0394573488 0.208
28.9797781385222 B 19.178462013 0.1588
29.9592992293984 B 19.256873468 0.2261
32.6966746398729 B 19.6711734448 0.2405
35.5709750400753 B 19.3803948919 0.2254
39.5331602442434 B 19.5841692214 0.2345
40.5387343704357 B 19.6517165054 0.3488
41.4171666090552 B 19.497922001 0.3867
52.9702126171692 B 19.4804825992 0.3376
53.9906151585173 B 19.9838396924 0.3286
67.2374063757264 B 19.6894841396 0.3408
-4.92587842740604 V 17.0060342831 0.0277
-2.07458465448401 V 16.92533206 0.0241
-1.05711319973454 V 16.91396442 0.0221
1.79860122839358 V 16.9333243957 0.0255
2.80801940257874 V 16.9376952759 0.0239
3.69589838915848 V 16.9710003057 0.0257
8.55440026526081 V 17.1619708796 0.0262
9.45862606595955 V 17.1633025521 0.0429
12.416736322659 V 17.3484478413 0.0355
16.179059861241 V 17.7344104139 0.0722
18.1696328467027 V 17.7043606798 0.0544
19.154593265493 V 17.7312608446 0.0444
20.0587133548709 V 17.6839129872 0.044
21.0246169057084 V 17.7454872693 0.0447
22.0628462196528 V 17.8748143462 0.0652
22.9070760412013 V 17.7714896875 0.0447
24.9188393412573 V 17.9177689841 0.066
25.8084289291953 V 17.9463679517 0.0792
26.7879596301878 V 18.0627072954 0.0554
29.5253350406623 V 18.2653604095 0.067
32.3996162206252 V 18.3909194298 0.0772
36.3618014248003 V 18.6093128228 0.0954
37.3671352979882 V 18.5357583725 0.1011
38.231421439972 V 18.6541155457 0.1191
43.9819827048558 V 18.7687693183 0.1485
45.8707172486989 V 18.9398307107 0.1252
49.7984693929219 V 18.9192718256 0.1672
50.8198617766293 V 18.9634346044 0.1541
52.634021789294 V 19.1891281649 0.156
64.0660667765158 V 19.1754248857 0.1431
65.9862744633566 V 19.2800604925 0.2482
-4.06096762762769 r' 17.3468717603 0.024
-1.20966424458241 r' 17.2691745667 0.021
-0.192202399956184 r' 17.249191172 0.0229
2.66351202817193 r' 17.2562143879 0.0205
3.67293020236409 r' 17.2832021333 0.0249
4.56080918893684 r' 17.3139355714 0.0215
9.4193014549229 r' 17.4976470647 0.0276
10.3235464758612 r' 17.4876856224 0.0464
13.2816759528001 r' 17.7104518514 0.0426
17.0439898812589 r' 17.7495211926 0.0884
19.0345532566043 r' 17.8913601159 0.035
20.0195040652783 r' 17.9784093926 0.0319
20.9236337647725 r' 17.942828446 0.0303
21.88953731561 r' 17.996792774 0.0296
22.9277666295544 r' 18.0728184968 0.0369
23.7719964511029 r' 18.1143806367 0.0366
25.7837405309194 r' 18.2224615337 0.0375
26.6733589492132 r' 18.2774898498 0.0362
27.6528800400894 r' 18.3560709189 0.0349
30.3902554505639 r' 18.5470655554 0.0456
33.2645366305268 r' 18.7338319311 0.0496
37.2267218347019 r' 18.9324513645 0.0654
38.2320460977666 r' 18.9072944001 0.0614
39.1166095929505 r' 18.8761624279 0.0679
44.8786069006292 r' 19.1111698493 0.1148
46.7356376586075 r' 19.3670655282 0.0891
50.6633898028235 r' 19.2811781936 0.1052
51.6847725764076 r' 19.2956043293 0.0956
53.4989325890723 r' 19.2679997331 0.0804
64.9309775763011 r' 19.8062644969 0.1364
66.8511948732582 r' 19.814858506 0.1692
74.5686497879334 r' 19.652 0.1612
-2.75519257295442 i' 17.7838083282 0.0377
0.0961011999745959 i' 17.7688830233 0.0334
1.11356304460082 i' 17.779531364 0.037
3.96927747272894 i' 17.8416780347 0.0347
4.97871486715361 i' 17.8562821249 0.0331
5.86657463349384 i' 17.9233955818 0.0352
10.7250668994799 i' 18.1769871764 0.0417
11.6293215305344 i' 18.3030361767 0.0867
14.5874413973571 i' 18.2380136623 0.0639
18.3497649359321 i' 18.1634925512 0.1728
20.3403379214008 i' 18.0885686222 0.0476
21.3252791199516 i' 17.9680195528 0.0501
22.2293992093225 i' 17.9589585685 0.0415
23.1953123702833 i' 17.9409487424 0.041
24.2335416842276 i' 17.9417785024 0.0457
25.0777522855367 i' 17.9491685597 0.0392
27.0895155855926 i' 17.9196930299 0.0431
27.9791147836469 i' 17.9601783055 0.0451
28.9586550947627 i' 18.0002869302 0.0435
31.6960112849976 i' 18.1209573511 0.0407
34.5703020750838 i' 18.2071433991 0.0483
38.5324872792519 i' 18.5658712683 0.0696
39.5378211524399 i' 18.5932862646 0.0705
40.4223846476238 i' 18.5986587369 0.0848
46.2002386532965 i' 18.8888421682 0.1357
48.0413934930343 i' 18.9346856957 0.0902
51.96917446762 i' 18.9896093916 0.1374
52.9905476310809 i' 19.1106226761 0.0912
54.8047076437456 i' 19.3151524037 0.1163
66.2367526309744 i' 19.6732104166 0.1404
68.1569603178152 i' 19.7785827639 0.1755
74.9966941427467 i' 19.8915 0.2511
75.8744056223671 i' 20.0195 0.1945
