Phase Band Mag Sigma
-8.37166919809063 B 14.1540091504 0.007
-6.35530528659997 B 13.6448714482 0.004
-2.48705953296569 B 13.1408991344 0.008
-1.4567432145131 B 13.128711778 0.008
1.49086412478455 B 13.0839984076 0.006
2.49553758029502 B 13.1453422953 0.006
3.47613854973074 B 13.2476878148 0.006
5.48308019994491 B 13.4578002139 0.007
6.40966219259407 B 13.5910382306 0.008
7.42565627635117 B 13.7609369485 0.009
8.45745351983675 B 13.9524445013 0.007
9.41870307293348 B 14.1169064653 0.008
10.3966602433157 B 14.2835212595 0.009
15.3603333212794 B 14.9987591478 0.009
20.3563183943787 B 15.4667630312 0.009
23.3715910867505 B 15.6765769757 0.008
25.3603938901194 B 15.7688938471 0.008
27.2745640354031 B 15.8608587045 0.009
29.3065223856392 B 15.9384021831 0.009
33.2272068000879 B 16.0637963023 0.01
35.1907543651809 B 16.1178922335 0.009
36.2245692447781 B 16.1592349199 0.011
37.1856498332747 B 16.141 0.011
38.2428613405387 B 16.171 0.011
42.2543294410917 B 16.271 0.009
47.1308068459445 B 16.388 0.01
48.1308785008534 B 16.422 0.011
50.073534090011 B 16.429 0.012
52.08192684798 B 16.501 0.013
55.0650465707332 B 16.549 0.012
56.0857816024067 B 16.573 0.012
63.9878584184721 B 16.703 0.014
67.9487067124511 B 16.813 0.015
69.9337326600314 B 16.833 0.011
73.9496932311565 B 16.898 0.01
76.9312127597426 B 16.952 0.014
78.9049578354518 B 16.992 0.016
87.8537206580622 B 17.169 0.014
-10.3702520701169 V 14.1311318866 0.007
-8.35388815862624 V 13.6269298228 0.005
-4.48564240499196 V 13.0971166886 0.006
-3.45532608653937 V 13.0650949672 0.009
-0.507718747241725 V 12.9261815323 0.009
0.496954708268748 V 12.9244473228 0.005
1.47755567770446 V 12.9955539156 0.008
3.48449732791864 V 13.0267279539 0.007
4.4110793205678 V 13.0958621532 0.009
5.4270734043249 V 13.1765911446 0.009
6.45887064781047 V 13.276147903 0.007
7.42012020090721 V 13.3698551371 0.008
8.39807737128945 V 13.4498170709 0.009
13.3617504492531 V 13.887038943 0.009
18.3577355223524 V 14.3525890657 0.008
21.3730082147243 V 14.5902579411 0.006
23.3618110180931 V 14.7185293881 0.007
25.2759811633768 V 14.8301871424 0.008
27.3079395136129 V 14.9190102096 0.01
31.2286239280616 V 15.0757898615 0.009
33.1921714931547 V 15.1525952448 0.008
34.2259863727518 V 15.1815963863 0.009
35.1870669612484 V 15.252 0.008
36.2442784685124 V 15.293 0.009
40.2557465690654 V 15.43 0.008
45.1322239739182 V 15.579 0.009
46.1322956288271 V 15.62 0.012
48.0749512179847 V 15.663 0.011
50.0833439759537 V 15.739 0.013
