Phase Band Mag Sigma
-8.90139695004549 B 16.9804728125 0.018
-8.8974863967514 B 16.9854473688 0.018
-8.09680060849081 B 16.7862937553 0.018
-8.09386769351847 B 16.8072956648 0.018
-7.10547534683586 B 16.6079196837 0.017
-7.10156479353466 B 16.6009110846 0.017
-6.18160712961593 B 16.4648682616 0.018
-6.17867421464359 B 16.4668543556 0.017
-3.24184868604013 B 16.1859735863 0.027
-3.23891577106779 B 16.1829761076 0.029
-1.24551122618314 B 16.1026728216 0.024
-1.2425783112108 B 16.0986690143 0.021
0.680436274266482 B 16.0991604378 0.024
0.684346827567682 B 16.0701483554 0.023
3.62899346276643 B 16.1420504031 0.028
3.63290401606763 B 16.1630383736 0.036
4.60760942619604 B 16.2140436337 0.016
4.61151997949724 B 16.2140345097 0.017
10.4675735468488 B 16.5963507233 0.017
10.4705064618211 B 16.5943361964 0.017
11.5987010889896 B 16.6817315394 0.018
11.6026116422908 B 16.6857038531 0.017
19.2927147075351 B 17.4542593916 0.019
19.2966252608292 B 17.4442320933 0.02
21.2294162295594 B 17.5987510901 0.027
21.2333267828606 B 17.6147302033 0.025
23.2189102211358 B 17.7491352595 0.048
23.222820774437 B 17.7501202891 0.043
26.161601579691 B 18.0648682295 0.083
28.0953701867359 B 18.2261761032 0.062
29.1355773646488 B 18.2418208647 0.14
32.9473891942143 B 18.5677696456 0.036
33.9387144558692 B 18.5612535869 0.041
35.9174544258708 B 18.7001148939 0.034
35.9203873408432 B 18.7231290506 0.036
38.8366824646189 B 18.870190157 0.072
46.6177058940983 B 19.0053764682 0.054
46.6206388090706 B 18.9983735958 0.047
47.6716000085582 B 19.0623502342 0.056
47.6745329235306 B 19.0513495808 0.056
53.5237430226085 B 19.201056293 0.204
56.4517698062878 B 19.1965544127 0.258
56.4556803595891 B 19.1645570162 0.211
-11.2604382285069 V 16.935728162 0.016
-10.4558418869452 V 16.7604556723 0.015
-9.46451662529732 V 16.5964442379 0.017
-8.54064840807739 V 16.4882724407 0.017
-5.60088996449448 V 16.2250640424 0.027
-3.6045525046446 V 16.0462159839 0.019
-1.67860500419498 V 16.0226294068 0.017
1.26995218431208 V 16.0247007008 0.029
2.24856814773458 V 16.0041106451 0.014
8.1085322683873 V 16.2225720336 0.014
9.23965981053524 V 16.2979822467 0.013
16.9336734290736 V 16.703302145 0.016
18.870374951098 V 16.7498069918 0.016
20.8598689426814 V 16.8124178852 0.021
23.7986497479355 V 16.9983268672 0.03
25.7324183549804 V 17.0548090824 0.033
26.7765360861873 V 17.0753539678 0.048
30.5883479157599 V 17.3143138002 0.02
31.5796731774078 V 17.3771281868 0.023
33.5574355090876 V 17.5112019212 0.02
36.4776411861645 V 17.6091649111 0.026
44.2586646156439 V 18.0031141916 0.026
45.3125587300968 V 18.083859049 0.033
55.0097532767728 V 18.3631045558 0.093
-10.0706523868552 r' 16.9514524198 0.016
-9.2670336836223 r' 16.8365200183 0.016
-8.27473078364561 r' 16.6903175029 0.021
-7.35184020474742 r' 16.5619141849 0.022
-4.41208176117162 r' 16.2993164882 0.023
-2.41574430131463 r' 16.2098200597 0.019
-0.488819162543263 r' 16.1728606672 0.016
2.4597380259638 r' 16.1882391384 0.03
3.43835398938629 r' 16.1998097496 0.076
9.29734047171727 r' 16.5299163573 0.017
10.429445652187 r' 16.6192123432 0.015
18.1234592707253 r' 16.9251830065 0.017
20.0601607927497 r' 16.9109495742 0.016
22.0496547843331 r' 16.8915017093 0.018
24.9884355895872 r' 16.92177204 0.027
26.9222041966321 r' 16.9295389898 0.024
27.966321927839 r' 16.9684686358 0.023
31.7781337574117 r' 17.1460000984 0.022
32.7694590190595 r' 17.1634108322 0.019
34.7472213507393 r' 17.343449237 0.019
37.6674270278163 r' 17.5184601459 0.02
45.4474728189668 r' 17.8785055643 0.023
46.5013669334267 r' 17.9283302996 0.024
52.3544875858059 r' 18.1075291681 0.054
55.2825143694781 r' 18.2474966737 0.045
56.1995391184245 r' 18.277297276 0.055
-7.753649556371 i' 17.4281482479 0.022
-6.94905321481633 i' 17.2606518491 0.022
-5.95675031483963 i' 17.1421131859 0.026
-5.03385973594145 i' 16.9827851736 0.026
-2.09410129236564 i' 16.7970936316 0.105
-0.0977638325086527 i' 16.7381727521 0.023
1.82916130626271 i' 16.7395438256 0.024
4.77771849476977 i' 16.7980264668 0.049
11.6153209405232 i' 17.2318942374 0.02
12.7464484826641 i' 17.3583784476 0.023
20.4414397395313 i' 17.3704911937 0.022
22.3781412615557 i' 17.2796017035 0.024
24.3676352531391 i' 17.1975237354 0.022
27.3054384200643 i' 17.2013107661 0.042
29.2392070271163 i' 17.0998662354 0.028
30.284302396645 i' 17.1137010479 0.026
34.0961142262176 i' 17.1162036388 0.021
35.0864618495437 i' 17.1577329942 0.02
37.0652018195453 i' 17.3179719693 0.02
39.9844298583005 i' 17.5398945102 0.03
47.7654532877728 i' 17.9183396714 0.027
48.8193474022327 i' 18.0683889805 0.029
54.6724680546119 i' 18.2522616061 0.071
57.5995171999623 i' 18.5520367737 0.066
58.5165419489087 i' 18.4822535344 0.064
