Phase Band Mag Sigma
-0.919728002139129 B 18.5452985421 0.0487
0.128224081277397 B 18.5426363936 0.0497
1.06675608384115 B 18.5223980116 0.0477
1.89398663572968 B 18.5471770129 0.0503
11.6840921062852 B 19.7550593567 0.3934
14.5799372648305 B 20.326882843 0.2814
15.510313432242 B 20.0167372628 0.1807
23.2568827618951 B 20.3840839943 0.2131
26.2159477650831 B 20.7542034829 0.3059
27.2547645373069 B 20.6356941651 0.3179
29.0559627893159 B 20.6380534504 0.3061
30.0002261813845 B 20.9641420956 0.3898
30.9643991210922 B 20.5112889929 0.3096
-5.92296919988484 V 18.4608126522 0.0484
-4.77174542976436 V 18.2081523133 0.0352
-3.83318433385007 V 18.143065145 0.0327
-3.00631259991854 V 18.0566719502 0.0315
0.0487216596878628 V 18.0842729743 0.0464
6.7841419908081 V 18.2971830867 0.0426
9.67999684713928 V 18.6511316599 0.0596
10.6103730145508 V 18.6280871647 0.0493
18.3569423441969 V 19.24976968 0.0898
21.3168995433879 V 19.3917358692 0.0909
22.3530203320589 V 19.2632364819 0.086
24.157787368052 V 19.3893055574 0.1069
26.062664613616 V 19.4886330842 0.1254
38.66084061258 V 19.9696350917 0.1482
40.5811858213676 V 20.0102061338 0.1776
41.5594302436003 V 20.0422487898 0.1823
43.4863796423242 V 19.9668123941 0.1494
-7.04332492805204 r' 18.2612927305 0.0495
-6.03438702395515 r' 18.1591719053 0.0288
-5.09583562581967 r' 18.0916417899 0.025
-4.26897358966694 r' 18.0679468193 0.026
-1.21392963228173 r' 17.9748948037 0.0425
-0.350516653586072 r' 18.0061058196 0.0909
0.775822606426722 r' 17.957365576 0.0296
5.5214906988385 r' 18.0907677362 0.0262
8.41734555516969 r' 18.2608158972 0.0416
9.34772172258122 r' 18.3222896436 0.0271
17.0943104477919 r' 18.7599656105 0.0446
20.0542482514183 r' 19.0952094718 0.0623
21.0903690400893 r' 19.0542092305 0.0535
22.8951554716471 r' 18.9821503438 0.0573
23.8358306841599 r' 19.1989046315 0.0499
24.8000133216464 r' 19.0858189933 0.0661
31.5774929358243 r' 19.1436175592 0.0727
37.397500778047 r' 19.4509680472 0.0684
39.3178653823992 r' 19.6807386607 0.0934
40.2961001068461 r' 19.5304379696 0.075
42.2230592033558 r' 19.7483721689 0.0763
-12.8440438807263 i' 18.4938067141 0.0597
-11.8468112002081 i' 18.2347965335 0.0377
-10.9082307087291 i' 18.214107435 0.0379
-10.0814074637057 i' 18.1600876613 0.0423
-7.02634411075586 i' 17.9449756209 0.0429
-5.03660156982621 i' 17.9836000092 0.0799
-0.290933477414431 i' 17.8942716911 0.0319
2.60492137891675 i' 17.9300211348 0.0408
3.53531694189295 i' 17.9226267869 0.0304
11.2818765737602 i' 18.2001821922 0.0466
14.2418337729442 i' 18.3054919311 0.0557
15.2779545616152 i' 18.4457010065 0.0721
17.0827506909588 i' 18.4766698302 0.0664
18.0234356012504 i' 18.571295886 0.0632
18.9875988431793 i' 18.4732525064 0.0639
31.5844268503599 i' 19.1379568199 0.09
33.5047720591475 i' 19.17405263 0.0864
34.4830067835944 i' 19.0633260364 0.0808
36.4099658801041 i' 19.1414414367 0.0878
