Phase Band Mag Sigma
-7.33183568259546 B 16.8401843127 0.0206
-4.51517275363853 B 16.4496924849 0.0183
-1.57015711725402 B 16.3125675776 0.0416
-0.584085130476441 B 16.2895736658 0.0248
0.449346425627795 B 16.2964104764 0.0235
1.31242955342863 B 16.3127059032 0.018
3.14220277643179 B 16.3560942355 0.0177
4.25900275015715 B 16.3865151014 0.0165
6.20108580899857 B 16.4989340955 0.0197
22.7930752934566 B 18.1257847956 0.0397
23.6848175316651 B 18.4202030417 0.1939
30.5360484994 B 18.7497641637 0.1047
33.4056684801878 B 19.0898583729 0.1494
35.3293041836533 B 19.0482348954 0.0994
46.9034475164338 B 19.4834554431 0.1548
48.9575678380524 B 19.8149477472 0.2313
49.962203997229 B 19.5255806259 0.1281
51.7293048857286 B 19.5152879532 0.1604
58.6098861312686 B 19.6221062879 0.1469
61.6668903566671 B 19.6216078977 0.2434
79.1169690410626 B 19.7905 0.2657
81.0464455958341 B 20.3205 0.2655
84.9615779601849 B 20.0975 0.2469
87.8160214623298 B 20.604 0.2376
-8.93632727077678 V 16.8273750513 0.0176
-6.11965460706439 V 16.5130752904 0.0204
-2.18858645340616 V 16.2931871775 0.0171
-1.15513542779806 V 16.2933070154 0.0153
-0.292042565241762 V 16.2854632166 0.0154
1.53772092300593 V 16.2900716655 0.0172
2.6545111619829 V 16.3215418852 0.0164
4.59661369032818 V 16.3656080153 0.016
7.58993316700122 V 16.4881613034 0.0234
21.1885837052824 V 17.1452846614 0.0205
28.9315471764703 V 17.6395732621 0.0265
31.8011866267619 V 17.8443494153 0.0487
33.7248223302274 V 18.0243629322 0.0387
41.5273624847276 V 18.404214536 0.0505
45.2971549991067 V 18.4323503105 0.0467
47.3510319519164 V 18.6164044406 0.0461
48.3577124090477 V 18.4745340535 0.0427
50.1230221031499 V 18.5483512784 0.052
57.0038661870026 V 18.7664104213 0.0512
60.0616881315844 V 18.7563193571 0.0548
65.8500204483795 V 18.8876986243 0.0775
77.5107057279878 V 19.191 0.1159
79.4419637424082 V 19.438 0.0781
83.3566580429116 V 19.549 0.1066
-9.22836983601146 r' 16.9715954617 0.0341
-6.41169717229907 r' 16.6502192921 0.023
-3.46669127067003 r' 16.6087189046 0.0425
-2.48060954913698 r' 16.4833666532 0.0253
-1.44717799303274 r' 16.4769003741 0.0172
-0.584085130476441 r' 16.4665378927 0.0228
1.24566862301578 r' 16.4835921054 0.0202
2.36247833149661 r' 16.5000870465 0.0298
4.30456139033803 r' 16.5636866845 0.0259
7.2979100712704 r' 16.7545068581 0.026
20.8965411400477 r' 17.2144083211 0.0584
21.7882736435008 r' 17.2911807043 0.0463
28.6394948764801 r' 17.4958940806 0.0371
31.5091440615272 r' 17.717293004 0.0424
33.4327894997482 r' 17.7866779099 0.0323
41.2353296542413 r' 18.2283236605 0.0741
45.0051221686204 r' 18.280417998 0.0677
47.0589796519334 r' 18.4720422072 0.0652
48.065669843813 r' 18.4797932969 0.0592
49.8309892726636 r' 18.5108776561 0.0536
56.7118138870125 r' 18.7502728525 0.0598
59.7696358315942 r' 18.8370759365 0.0658
65.5579973526487 r' 19.0877392486 0.0777
77.2186728975086 r' 19.279 0.0802
79.149930911929 r' 19.426 0.2175
83.0646154776698 r' 19.5295 0.2142
85.9195165131731 r' 19.655 0.1694
95.6502579699102 r' 20.392 0.2812
-6.1636946259019 i' 17.3298844557 0.0326
-3.34701222743404 i' 17.0487986972 0.0342
-0.401996591049527 i' 17.0277056553 0.027
0.584085130476441 i' 16.9873534633 0.0297
1.61751668658068 i' 17.033623538 0.0373
2.48059981438859 i' 17.0240286206 0.0237
4.31037303738467 i' 17.0843395856 0.054
5.4271827458655 i' 17.131625966 0.0271
7.36925606995854 i' 17.2142469336 0.0304
10.3625950161354 i' 17.3160830772 0.0433
23.9612358196611 i' 17.3770156027 0.0387
24.8529683231142 i' 17.3056520301 0.0344
31.7041798213451 i' 17.4087837065 0.0438
34.5738387411477 i' 17.5741926464 0.0673
36.4974744446132 i' 17.7072524919 0.0476
44.3000243338618 i' 18.2435691626 0.0612
48.069797378737 i' 18.3205789535 0.0845
50.1236743315468 i' 18.5302286636 0.0855
51.130354788678 i' 18.5531577133 0.0854
52.8956936870324 i' 18.6945426828 0.0778
59.7765280361368 i' 18.9939295581 0.1937
62.8343305112076 i' 19.3990145103 0.2093
68.6226725627582 i' 20.022660184 0.2868
80.283367577122 i' 19.914 0.3321
82.2146255915425 i' 19.9045 0.2437
86.1293101572903 i' 20.185 0.3964
88.9841819885343 i' 20.059 0.1973
98.7149526495237 i' 20.461 0.3146
