Phase Band Mag Sigma
-8.46239653976983 B 15.5710897876 0.007
-7.39338202731131 B 15.3278177949 0.009
-6.52268978133734 B 15.1892131914 0.006
-5.50137539701313 B 15.0560294056 0.005
-3.44723755719476 B 14.8636180121 0.007
-1.56801987765467 B 14.7689505918 0.007
-0.599328235304527 B 14.7520241999 0.005
0.393809107388768 B 14.7513928194 0.006
2.46294122896819 B 14.7868114706 0.005
3.44742461652679 B 14.8111839751 0.005
9.22788268271973 B 15.0849832545 0.006
11.248103713158 B 15.2283495154 0.006
13.2181337728669 B 15.4070444999 0.006
15.1857320613311 B 15.6058374436 0.005
17.1737788876991 B 15.8258392859 0.007
19.117847082004 B 16.0315476002 0.007
20.2170372173095 B 16.1414753345 0.006
21.0361896963631 B 16.2226177288 0.007
22.000716807404 B 16.3128450779 0.009
23.9977720171016 B 16.507447365 0.009
25.051644569384 B 16.5980701048 0.012
26.0085908551057 B 16.7271863539 0.011
26.9503065736008 B 16.7995701205 0.014
32.8771139493221 B 17.25530475 0.009
39.7549604741604 B 17.5823894529 0.012
42.6796822624474 B 17.6883341958 0.013
45.7438912365787 B 17.7866019356 0.013
56.4244471093906 B 17.9946700754 0.11
68.2498159026139 B 18.1154628407 0.016
76.1023990395985 B 18.234 0.019
93.8000031114866 B 18.484 0.024
95.7663510560414 B 18.518 0.02
-11.8829633751708 V 15.8315618094 0.008
-11.1222423224288 V 15.6311843974 0.006
-10.0532278099703 V 15.4271957484 0.008
-9.18253556399634 V 15.2694787001 0.007
-8.16122117967212 V 15.144101456 0.007
-6.10708333985376 V 14.9546387897 0.008
-4.22786566031367 V 14.8441980121 0.009
-3.25917401796352 V 14.8094130663 0.004
-2.26603667527023 V 14.7898388604 0.006
-0.196904553690802 V 14.7746090486 0.007
0.787578833867791 V 14.7903124107 0.004
6.56803690006073 V 14.9539361729 0.006
8.58825793049899 V 15.0647280024 0.008
10.5582879902079 V 15.1736819962 0.009
12.5258862786721 V 15.3018079022 0.005
14.5139331050401 V 15.4134259182 0.009
16.458001299345 V 15.4938005817 0.007
17.5571914346505 V 15.5361383764 0.006
19.340871024745 V 15.6069465545 0.008
21.3379262344426 V 15.6808346417 0.006
22.391798786725 V 15.7382390174 0.007
23.3487450724467 V 15.7854326413 0.011
24.2904607909418 V 15.8265673289 0.008
30.2172681666631 V 16.1943073428 0.007
37.0951146915014 V 16.6191985657 0.008
40.0198364797884 V 16.7157641832 0.009
43.0840454539197 V 16.8643193285 0.007
53.7646013267316 V 17.1496519695 0.014
65.5899701199549 V 17.5124309928 0.012
73.4425532569395 V 17.746 0.012
91.1401573288277 V 18.191 0.02
93.1065052733824 V 18.178 0.018
-10.799988329857 r 15.9274409348 0.005
-10.0392672771151 r 15.7570996022 0.009
-8.97025276465657 r 15.5313362231 0.008
-8.0995605186826 r 15.4116943232 0.008
-7.07824613435838 r 15.2866907088 0.007
-5.02410829454002 r 15.1203574339 0.008
-3.14489061499993 r 15.0596003824 0.01
-2.17619897264979 r 15.0175173088 0.005
-1.18306162995649 r 15.0127682905 0.007
0.886070491622936 r 15.0009189266 0.005
1.87055387918153 r 15.0126515311 0.005
7.65101194537447 r 15.2528300488 0.009
9.67123297581273 r 15.4292140055 0.009
11.6412630355217 r 15.5829885852 0.01
13.6088613239858 r 15.71286807 0.007
15.5969081503539 r 15.7778194679 0.008
17.5409763446587 r 15.8065707002 0.008
18.6401664799642 r 15.8181627323 0.005
20.4238460700587 r 15.8152862104 0.009
22.4209012797564 r 15.8182193851 0.005
23.4747738320387 r 15.8450669401 0.006
24.4317201177604 r 15.8237390499 0.01
25.3734358362555 r 15.8570790425 0.008
31.3002432119769 r 16.071409014 0.006
38.1780897368152 r 16.5424854313 0.007
41.1028115251021 r 16.6780053182 0.008
44.1670204992334 r 16.8158934651 0.009
54.8475763720453 r 17.2067410515 0.067
66.6729451652687 r 17.5703899695 0.013
74.5255283022532 r 17.745 0.016
92.2231323741414 r 18.286 0.031
94.1894803186961 r 18.264 0.025
-6.35938698972721 i 16.3199583378 0.007
-5.59866593698526 i 16.121024963 0.009
-4.52965142452674 i 15.9019038408 0.009
-3.65895917855278 i 15.7782478244 0.011
-2.63764479422856 i 15.6921522057 0.008
-0.583506954410191 i 15.5730196225 0.01
1.29571072512989 i 15.5751496468 0.014
2.26440236748004 i 15.5667774691 0.006
3.25753971017334 i 15.5954886736 0.007
5.32667183175276 i 15.6442325986 0.008
6.31115521931136 i 15.6908183079 0.006
12.0916132855043 i 15.9661891878 0.012
14.1118343159426 i 16.1463866834 0.012
16.0818643756515 i 16.2510309913 0.012
18.0494626641157 i 16.363295175 0.009
20.0375094904837 i 16.3632294923 0.009
21.9815776847885 i 16.2919597068 0.011
23.080767820094 i 16.2453051243 0.009
24.8644474101886 i 16.1821462051 0.011
26.8615026198862 i 16.1363018308 0.009
27.9153751721685 i 16.1286767246 0.008
28.8723214578903 i 16.0693879214 0.014
29.8140371763853 i 16.0689769341 0.011
35.7408445521067 i 16.1176182681 0.008
42.618691076945 i 16.5705342243 0.009
45.5434128652319 i 16.7532050228 0.011
48.6076218393633 i 16.939381212 0.009
59.2881777121752 i 17.4893232617 0.015
71.1135465053985 i 18.0442648575 0.022
78.9661296423831 i 18.218 0.022
96.6637337142712 i 18.777 0.049
98.630081658826 i 18.809 0.033
