Phase Band Mag Sigma
3.60501995856813 B 17.677524747 0.014
5.50847049668819 B 17.7887746521 0.017
8.40209985010083 B 18.0662206627 0.019
21.8127740959715 B 19.7557632418 0.121
26.6290807606205 B 20.1800182295 0.1
30.5128889293187 B 20.4287187703 0.09
-3.14357740387533 B 17.6700476651 0.027
-1.153606386746 B 17.5721095787 0.03
0.721003991713626 B 17.5912327997 0.038
3.61463334512627 B 17.6975623802 0.03
5.52769726980447 B 17.9145242656 0.038
7.42153442137338 B 18.0159740064 0.058
11.2861158169553 B 18.4978462857 0.105
-4.93166730333267 V 17.6304374798 0.027
-2.94169628620335 V 17.5078010991 0.029
-1.06708590774372 V 17.4706149912 0.025
1.82654344566892 V 17.4540507656 0.056
3.73960737034712 V 17.5883861939 0.032
5.63344452191603 V 17.6552966384 0.036
9.49802591749799 V 17.9874628918 0.04
12.3724284977944 V 18.168901471 0.105
18.1212336583941 V 18.2501364919 0.176
21.0148630118067 V 18.4247002631 0.622
23.8892655921031 V 19.0172721991 0.187
26.7828949455157 V 19.1052198748 0.056
32.5124733329992 V 19.4530717457 0.181
1.81693005911078 V 17.4715506915 0.015
3.72038059723084 V 17.5195592155 0.013
6.61400995064348 V 17.7011166348 0.011
18.1116202718359 V 18.4438353913 0.101
20.0246841965141 V 18.5220280564 0.043
24.8409908611631 V 18.9687740374 0.054
28.7247990298614 V 19.1973624244 0.028
31.5895882236066 V 19.377073246 0.063
3.26855142910317 R 17.4990194938 0.011
5.17200196722323 R 17.6045913501 0.015
8.06563132063587 R 17.9048248712 0.018
21.4763055665065 R 18.1697420179 0.053
26.2926122311555 R 18.6708884632 0.057
30.1764203998537 R 18.8874725018 0.024
33.041209593599 R 19.1146642152 0.043
-3.48004593334029 R 17.5455320564 0.027
-1.49007491621096 R 17.5212334638 0.019
0.384535462248666 R 17.4667832928 0.039
3.27816481566131 R 17.5156769314 0.033
5.19122874033951 R 17.7244497439 0.039
7.08506589190842 R 17.9011267675 0.035
10.9496472874904 R 18.1408842332 0.052
13.8240498677867 R 18.1271918161 0.096
19.5728550283865 R 18.0318234273 0.147
22.4664843817991 R 18.2793379267 0.594
25.3408869620955 R 18.4905255028 0.04
28.2345163155081 R 18.7115761825 0.517
33.9640947029916 R 19.1810298921 0.069
3.74922075691225 I 17.7849510343 0.043
5.65267129503231 I 18.0339331817 0.047
8.54630064844496 I 18.2598993039 0.021
20.0439109696374 I 18.0097794146 0.091
21.9569748943156 I 17.9349342188 0.068
26.7732815589646 I 18.3415378935 0.057
30.6570897276628 I 18.7356401197 0.031
33.521878921408 I 18.9200162865 0.174
-2.9993766055312 I 17.9207133243 0.052
-1.00940558840187 I 17.8864683501 0.033
0.86520479005775 I 18.0214192212 0.058
3.75883414347039 I 17.9432023547 0.043
5.67189806814859 I 18.2202007263 0.087
7.5657352197175 I 18.3286991585 0.134
11.4303166152995 I 18.5474820364 0.068
14.3047191955958 I 18.268163291 0.9
20.0535243561955 I 18.2402201821 0.138
22.9471537096082 I 18.2908390036 0.754
25.8215562899046 I 18.4862675653 0.093
28.7151856433172 I 18.747916119 0.864
34.4447640308006 I 19.311310098 0.216
