Phase Band Mag Sigma
-5.55712863225397 B 14.2077665793 0.007
-4.56667526541818 B 14.1068958145 0.008
-3.57146077257734 B 14.0368091272 0.007
-1.59035524449798 B 13.9312720916 0.011
2.37377417765849 B 13.9670547677 0.005
10.325520580992 B 14.3599499611 0.005
14.3124616611926 B 14.7280853196 0.006
17.2858792837926 B 15.0591660941 0.008
19.2732667150809 B 15.2858032349 0.006
21.2384189921083 B 15.4905915332 0.023
23.3120235570879 B 15.6960345012 0.008
29.2525868387881 B 16.2636257314 0.01
30.2019891608708 B 16.3248344416 0.01
35.1954163767123 B 16.607620357 0.007
38.1669653319038 B 16.7499666653 0.011
40.1288573806755 B 16.812062155 0.009
49.1092952547542 B 17.0020756947 0.009
51.0907884319182 B 17.0276586358 0.009
53.0560500458695 B 17.0650066917 0.011
60.0431664756555 B 17.1711655061 0.01
61.9685996304496 B 17.1917278403 0.012
64.9436871260575 B 17.2261712368 0.011
67.0254025027817 B 17.248541894 0.009
72.9578947316174 B 17.3703389255 0.009
78.8252917323509 B 17.416 0.01
82.8960047750583 B 17.475 0.015
89.7539147809477 B 17.569 0.012
-7.7317903332976 V 13.7114136908 0.006
-6.74133696646181 V 13.607402226 0.006
-5.74612247362097 V 13.5339134909 0.006
-3.76501694554161 V 13.4219323415 0.007
-2.78312167786966 V 13.3893799656 0.006
0.199112476614865 V 13.395383816 0.008
8.15085887994832 V 13.6176476315 0.004
12.137799960149 V 13.8794972737 0.005
15.111217582749 V 14.0541619437 0.006
17.0986050140373 V 14.1401927123 0.005
19.0637572910647 V 14.2255867865 0.013
21.1373618560442 V 14.3210348259 0.005
27.0779251377444 V 14.6287139171 0.007
28.0273274598272 V 14.6819566906 0.007
33.0207546756686 V 15.0171004233 0.005
35.9923036308601 V 15.1696882049 0.008
37.9541956796319 V 15.2494526668 0.005
46.9346335537106 V 15.5353472541 0.008
48.9161267308746 V 15.5925583237 0.008
50.8813883448259 V 15.6625844834 0.008
57.8685047746119 V 15.8422856355 0.008
59.793937929406 V 15.8871860118 0.01
62.7690254250139 V 15.9740995658 0.01
64.850740801738 V 16.0395135107 0.008
70.7832330305738 V 16.2514809732 0.008
76.6506300313072 V 16.437 0.009
80.7213430740147 V 16.531 0.009
87.5792530799041 V 16.698 0.01
-6.24083229157938 r 13.7041439369 0.008
-5.25037892474359 r 13.6157891151 0.004
-4.25516443190275 r 13.556946812 0.005
-2.2740589038234 r 13.4873804554 0.006
-1.29216363615145 r 13.4631545704 0.005
1.69007051833308 r 13.4687576737 0.008
9.64181692166654 r 13.7866246399 0.004
13.6287580018672 r 14.0843810808 0.005
16.6021756244672 r 14.1775111962 0.006
18.5895630557555 r 14.1934560582 0.005
20.5547153327829 r 14.2252430941 0.006
22.6283198977625 r 14.2218056229 0.005
28.5688831794626 r 14.3474648452 0.007
29.5182855015454 r 14.3780581968 0.007
34.5117127173868 r 14.6976562304 0.004
37.4832616725784 r 14.8860732354 0.009
39.4451537213501 r 14.9896344372 0.004
48.4255915954288 r 15.3712284131 0.009
50.4070847725928 r 15.4356824316 0.008
52.3723463865441 r 15.5041760106 0.007
59.3594628163301 r 15.7469835121 0.008
61.2848959711242 r 15.8105244679 0.008
64.2599834667321 r 15.89943868 0.012
72.274191072292 r 16.2179035774 0.005
78.1415880730255 r 16.344 0.009
82.2123011157329 r 16.469 0.008
89.0702111216223 r 16.676 0.01
-3.45771061370972 i 13.7936940297 0.008
-2.46725724687392 i 13.7318621142 0.005
-1.47204275403309 i 13.6882717604 0.006
0.509062774046269 i 13.6704537388 0.006
1.49095804171822 i 13.6643718164 0.005
4.47319219620275 i 13.7787824658 0.006
12.4249385995362 i 14.1805216822 0.004
16.4118796797369 i 14.397020439 0.007
19.3852973023369 i 14.3550876913 0.006
21.3726847336252 i 14.2844976073 0.006
23.3378370106525 i 14.2301020776 0.007
25.4114415756321 i 14.1782090863 0.006
31.3520048573323 i 14.110680344 0.008
32.3014071794151 i 14.1264898606 0.007
37.2948343952565 i 14.4199806888 0.004
40.266383350448 i 14.627330264 0.009
42.2282753992197 i 14.7405802292 0.004
51.2087132732984 i 15.2350127998 0.008
53.1902064504625 i 15.3377696129 0.009
55.1554680644138 i 15.4412557617 0.008
62.1425844941997 i 15.7558235683 0.009
64.0680176489939 i 15.8386403291 0.01
67.0431051446018 i 15.9806223053 0.012
69.1248205213259 i 16.0512984834 0.008
75.0573127501617 i 16.3264731204 0.006
80.9247097508951 i 16.478 0.009
84.9954227936026 i 16.623 0.009
91.853332799492 i 16.854 0.011
