Phase Band Mag Sigma
-1.46766036710547 B 17.0567781099 0.01
-0.459721197441119 B 17.0289765278 0.012
0.49362324168563 B 17.0170228682 0.01
3.56042546256344 B 17.2529910837 0.011
6.51832452385695 B 17.7691946656 0.012
13.4554390059541 B 18.8069050297 0.025
14.4096719669221 B 18.9112212338 0.022
17.3861608794984 B 19.1290434026 0.033
25.2536564475245 B 19.3521348968 0.065
28.1901125152022 B 19.591350774 0.089
29.203333453552 B 19.5408990343 0.099
31.1228565360955 B 19.5905219277 0.054
37.0989754188155 B 19.7787337845 0.042
42.0175262511596 B 20.004 0.057
-3.7446654012834 V 16.5003672606 0.009
-2.73672623161905 V 16.3938392366 0.009
-1.7833817924923 V 16.3121000595 0.006
1.28342042838551 V 16.2599633786 0.007
4.24131948967902 V 16.4698200341 0.009
11.1784339717761 V 17.3257706477 0.01
12.1326669327442 V 17.4139727036 0.013
15.1091558453205 V 17.6899592124 0.014
22.9766514133466 V 18.1595232978 0.023
25.9131074810242 V 18.3199090343 0.025
26.9263284193741 V 18.2746700646 0.028
27.9175436336088 V 18.4514262937 0.038
28.8458515019176 V 18.4598112382 0.023
34.8219703846376 V 18.6797809661 0.025
39.7405212169816 V 18.919 0.023
-4.73191188466184 r 16.6292310295 0.007
-3.72397271499749 r 16.5170102803 0.007
-2.77062827587074 r 16.3686328805 0.044
0.296173945007068 r 16.3011559618 0.006
3.25407300630058 r 16.42745439 0.008
10.1911874883977 r 17.0913080054 0.008
11.1454204493658 r 17.1467036301 0.009
14.121909361942 r 17.4276281603 0.009
21.9894049299682 r 17.9402778495 0.013
25.9390819359956 r 18.1896846485 0.023
27.8586050185392 r 18.2578073668 0.015
33.8347239012592 r 18.6112714875 0.019
38.7532747336032 r 18.923 0.022
-6.80128911091978 i 16.6327676527 0.007
-5.79334994125543 i 16.5223872499 0.009
-4.84000550212868 i 16.4273901655 0.007
-1.77320328125087 i 16.323973582 0.006
1.18469578004264 i 16.2876412537 0.009
8.12181026213977 i 16.6869464837 0.009
9.07604322310784 i 16.8274031517 0.013
12.0525321356841 i 17.1690566027 0.011
19.9200277037102 i 17.7475245888 0.015
23.8697047097377 i 18.0821345203 0.022
25.7892277922812 i 18.2003293915 0.017
31.7653466750012 i 18.5427578463 0.021
36.6838975073453 i 18.742 0.025
