Phase Band Mag Sigma
-6.65789473919752 B 16.6287982569 0.028
-4.71898796336052 B 16.3785770127 0.018
-3.65678708641173 B 16.3349778192 0.0257
-2.68990083385631 B 16.2925632363 0.0175
-1.75031956654249 B 16.2162698294 0.0224
2.09498666118586 B 16.2523521359 0.0292
3.06393440122821 B 16.2908555351 0.0186
4.09475593794474 B 16.317889595 0.022
17.6636221776689 B 17.4822768029 0.0338
20.5933556881291 B 17.7959503927 0.0307
21.5710939219989 B 17.8900856335 0.0453
22.5475680361783 B 18.0279100627 0.0373
26.430418618605 B 18.289388566 0.0823
27.4084777443907 B 18.3894757869 0.0942
28.3768906645684 B 18.4527975437 0.1072
32.2567462557346 B 18.7283738016 0.1227
33.2349512414841 B 18.880337682 0.1375
46.8545281286459 B 19.2649603797 0.1589
-8.26258771778953 V 16.6491589477 0.0191
-6.32365176996402 V 16.4613144709 0.0205
-5.26213157284362 V 16.3598308148 0.0172
-4.2952453202882 V 16.3140468467 0.0202
-3.3556543289735 V 16.2458825809 0.0161
0.489642174746895 V 16.2196663981 0.0192
1.45859963879013 V 16.1973575016 0.0205
2.48403408084241 V 16.2323251883 0.0166
16.0582971392246 V 16.8847906262 0.0206
18.9880209256911 V 17.0355941581 0.0225
19.9657688835546 V 17.0853069157 0.0235
20.9387131866089 V 17.1203302502 0.0256
24.8232946406056 V 17.3171927651 0.0434
25.8013537663984 V 17.3675547854 0.0333
26.7697666865691 V 17.3771806015 0.0297
30.6496222777424 V 17.5914746959 0.0326
31.6286149072945 V 17.7219081489 0.07
42.32869765346 V 17.9219903388 0.1106
45.2491933662078 V 18.4715899101 0.1121
-7.58120775854426 r' 16.7855715728 0.0177
-5.64228153471257 r' 16.6426563588 0.0235
-4.58146146542232 r' 16.5437618541 0.0164
-3.62239330693138 r' 16.4959816124 0.0197
-2.6749647735575 r' 16.437717398 0.017
1.17032200616908 r' 16.4437529571 0.0156
2.13927947021231 r' 16.4277536767 0.0213
3.16014363339866 r' 16.4561497514 0.0183
16.7389964186486 r' 17.1695129383 0.0204
19.6687202051079 r' 17.1921514252 0.019
21.6213086455613 r' 17.1840634614 0.0248
25.5077668310919 r' 17.2577637587 0.0242
26.4858259568776 r' 17.2781945898 0.0371
27.466607801991 r' 17.3334917164 0.0415
31.3340847442278 r' 17.5375266685 0.0318
32.307408283182 r' 17.616516445 0.0266
43.0131601199454 r' 18.228760159 0.0854
45.9336558326932 r' 18.3427100753 0.0613
-4.80899328507549 i' 17.0649872503 0.033
-2.8700670612438 i' 16.9871015426 0.1085
-1.80924699195355 i' 16.901507011 0.0263
-0.850188557456418 i' 16.8774218059 0.0331
0.097239975917455 i' 16.8436364291 0.0287
3.94253647963785 i' 16.9521191482 0.0213
4.91150366768196 i' 16.9747677551 0.0312
5.92111716565217 i' 17.0615725669 0.0258
19.5112011681165 i' 17.499979053 0.0647
22.4409346785767 i' 17.3972015145 0.0422
23.4186729124465 i' 17.3818115025 0.0395
24.3935231190301 i' 17.3924687054 0.0362
28.2799910285545 i' 17.2826438568 0.063
29.2580307063526 i' 17.2357161767 0.0558
30.2388319994607 i' 17.2419654251 0.0967
34.1062992176965 i' 17.4411426209 0.0601
35.0796227566508 i' 17.4763170833 0.0437
45.7853843174079 i' 18.0927970112 0.0649
48.7058800301629 i' 18.2391556314 0.1106
