Phase Band Mag Sigma
-2.14322848412135 B 16.2890691112 0.0267
-1.17726386325604 B 16.1293171194 0.0224
0.83779001774033 B 16.1370797861 0.0196
2.75398316582994 B 16.266291041 0.0201
5.7290859167819 B 16.6069599849 0.0293
22.3639224098542 B 18.6621351032 0.063
-3.91351939741356 V 16.0776995235 0.0253
-2.94756458708377 V 16.0465219207 0.0182
-0.932491085016362 V 15.9759678364 0.0176
0.981053219376468 V 15.9678517039 0.0172
3.95812788730309 V 16.0766660101 0.0169
20.5929643803683 V 17.5423014255 0.0339
-3.17658165062569 r' 16.174027134 0.0408
-2.21063665082427 r' 16.1282563459 0.0175
-0.196210643879576 r' 16.0744695513 0.0195
1.71729441838547 r' 16.0798329077 0.023
4.69438870736885 r' 16.2315887292 0.0176
21.3292252004412 r' 17.3619103242 0.0246
-1.35838590861018 i' 16.4759580105 0.0294
-0.392421287744877 i' 16.4107134278 0.02
1.62131798194219 i' 16.4562084005 0.0212
3.53482304420724 i' 16.5027749764 0.0194
6.51192714372613 i' 16.5967021388 0.022
23.1467440157346 i' 17.2045585393 0.03
