Phase Band Mag Sigma
-8.24546526924545 B 16.1575597093 0.0186
-6.41573042186536 B 15.6909219314 0.0192
-5.15381874669687 B 15.4867695677 0.0288
-4.07632624437756 B 15.2893644238 0.0181
-3.2243887732818 B 15.2736162805 0.0498
-2.15688358272784 B 15.130085604 0.0185
-0.296652824944321 B 15.0662457613 0.0144
3.71067197235385 B 15.1936790694 0.0194
10.4639735321456 B 16.0794768092 0.0195
13.5434968425785 B 16.5322840074 0.0242
19.4009266479061 B 17.3187129154 0.0478
20.3901451579536 B 17.3920033451 0.0477
22.3642114930968 B 17.574236771 0.0391
23.4501981546418 B 17.7673094736 0.0702
28.310538261631 B 17.9266827291 0.0488
39.0912480149621 B 18.3135 0.0582
41.1783786301181 B 18.341 0.0613
43.1588328894292 B 18.3245 0.0523
46.9900942351224 B 18.4155 0.0699
48.9816630869411 B 18.483 0.0617
50.9513488487018 B 18.7695 0.0831
-10.0766636038943 V 16.0956365395 0.0188
-8.24690897965967 V 15.6661118264 0.0194
-6.98567960598929 V 15.4670227629 0.0353
-5.90819699209363 V 15.290175188 0.0165
-5.05624963257422 V 15.2047616639 0.0148
-3.98875433045111 V 15.12088203 0.0143
-2.13324035257652 V 15.0228330727 0.0143
1.87880122463058 V 15.0097332094 0.0163
7.92079852920536 V 15.4060613197 0.0297
8.6321126728532 V 15.4530864113 0.0156
11.7116359832861 V 15.6844253293 0.0174
16.6350049271456 V 16.0806203298 0.0318
17.5670782146829 V 16.1869836248 0.0233
18.5582842986612 V 16.2601043852 0.0191
20.5323506338044 V 16.4556856757 0.0202
21.6158849653343 V 16.526670092 0.036
26.4786675139077 V 16.9457914041 0.033
37.2593772672461 V 17.373 0.042
39.3465276592566 V 17.497 0.0506
41.3269621417131 V 17.4895 0.0355
45.15823337583 V 17.639 0.0545
47.1498022276487 V 17.735 0.0533
49.1194978778403 V 17.873 0.0832
-7.84056382848417 r' 16.1721585562 0.0218
-6.01082898110408 r' 15.7004152627 0.0226
-4.75027202050817 r' 15.4865779721 0.0144
-3.67279929503616 r' 15.3350514797 0.0141
-2.8208420470859 r' 15.2670318412 0.0145
-1.75335663339363 r' 15.2161545849 0.0142
0.098884274979042 r' 15.1599683684 0.0145
4.11421869854974 r' 15.1858745352 0.0142
10.1561962262628 r' 15.5910492938 0.0326
10.8675103699107 r' 15.6419245089 0.0161
13.9470237919199 r' 15.7619181456 0.0164
18.8704026242031 r' 16.0984268128 0.0289
19.8024759117403 r' 16.0514259642 0.0383
20.793672107295 r' 16.132222888 0.0163
22.7677483308619 r' 16.305611289 0.0208
23.8597471563321 r' 16.3936608234 0.0221
28.7140652109652 r' 16.808153065 0.0464
39.494794741158 r' 17.2195 0.0351
41.581925356314 r' 17.334 0.0484
43.5623697271943 r' 17.41 0.037
47.3936409613183 r' 17.585 0.0436
49.3851999247061 r' 17.643 0.0572
51.3548955748977 r' 17.8515 0.0431
286.032683473819 r' 20.586 0.3222
-6.7786950416128 i' 16.2573008399 0.0236
-4.94896019423271 i' 15.848760238 0.0242
-3.68910531198941 i' 15.6797514557 0.0167
-2.61161280966291 i' 15.588045317 0.0175
-1.75967533856715 i' 15.5470657606 0.0159
-0.692189924867684 i' 15.4935789267 0.0162
1.15710423210587 i' 15.4986683813 0.0175
5.1753854070685 i' 15.6241906624 0.0196
11.2173530463579 i' 15.8465323769 0.0241
11.9286968552839 i' 15.8526945928 0.019
15.0081905004386 i' 15.8367147023 0.0183
19.9315792211527 i' 15.8281790229 0.0189
20.8636426202591 i' 15.8845594964 0.0426
21.8548487042374 i' 15.9260817258 0.0234
23.8289150393806 i' 16.0716092461 0.0215
24.9235738518418 i' 16.2321692794 0.0367
29.7752516963456 i' 16.7346690992 0.049
40.5559614496768 i' 17.364 0.0432
42.6430920648328 i' 17.43 0.0365
44.623536435713 i' 17.616 0.0421
48.454807669837 i' 17.755 0.0543
50.4463765216486 i' 17.8885 0.0554
52.4150239985302 i' 17.9565 0.1077
