SN,V4
SN1998de,Ia-norm
SN1998dh,Ia-norm
SN1998ef,Ia-norm
SN1999ac,Ia-norm
SN1999by,Ia-91bg
SN1999cl,Ia-norm
SN1999cp,Ia-norm
SN1999da,Ia-91bg
SN1999dk,Ia-norm
SN1999dq,Ia-norm
SN1999ej,Ia-norm
SN1999gp,Ia-91T
SN2000cn,Ia-norm
SN2000cx,Ia-norm
SN2000dk,Ia-norm
SN2001bf,Ia-norm
SN2001da,Ia-norm
SN2001eh,Ia-99aa
SN2001en,Ia-norm
SN2001ep,Ia-norm
SN2001fh,Ia-norm
SN2002bo,Ia-norm
SN2002cd,Ia-norm
SN2002cr,Ia-norm
SN2002de,Ia-norm
SN2002dj,Ia-norm
SN2002dp,Ia-norm
SN2002er,Ia-norm
SN2002fb,Ia-91bg
SN2002fk,Ia-norm
SN2002ha,Ia-norm
SN2002hu,Ia-99aa
SN2003cg,Ia-norm
SN2003fa,Ia-norm
SN2004as,Ia-norm
SN2004dt,Ia-norm
SN2004ef,Ia-norm
SN2004eo,Ia-norm
SN2004ey,Ia-norm
SN2004gs,Ia-norm
SN2005ag,Ia-norm
SN2005bl,Ia-norm
SN2005cf,Ia-norm
SN2005el,Ia-norm
SN2005eq,Ia-99aa
SN2005hk,Ia-02cx
SN2005iq,Ia-norm
SN2005ir,Ia-norm
SN2005kc,Ia-norm
SN2005ke,Ia-91bg
SN2005ki,Ia-norm
SN2005lz,Ia-norm
SN2005M,Ia-norm
SN2005mc,Ia-norm
SN2005mz,Ia-norm
SN2005W,Ia-norm
SN2006ac,Ia-norm
SN2006ar,Ia-norm
SN2006ax,Ia-norm
SN2006az,Ia-norm
SN2006bh,Ia-norm
SN2006bt,Ia-norm
SN2006cc,Ia-norm
SN2006cp,Ia-norm
SN2006em,Ia-91bg
SN2006et,Ia-norm
SN2006eu,Ia-norm
SN2006le,Ia-norm
SN2006mr,Ia-91bg
SN2006ob,Ia-norm
SN2006py,NA
SN2006X,Ia-norm
SN2007af,Ia-norm
SN2007au,Ia-norm
SN2007ax,Ia-91bg
SN2007ba,Ia-91bg
SN2007bd,Ia-norm
SN2007ca,Ia-norm
SN2007co,Ia-norm
SN2007cq,Ia-91T
SN2007F,Ia-norm
SN2007hj,Ia-norm
SN2007kk,Ia-norm
SN2007le,Ia-norm
SN2007on,Ia-norm
SN2007qe,Ia-norm
SN2007S,Ia-norm
SN2008ae,Ia-02cx
SN2008ar,Ia-norm
SN2008bc,Ia-norm
SN2008bf,Ia-norm
SN2008cm,NA
SN2008dr,Ia-norm
SN2008fp,Ia-norm
SN2008gp,Ia-norm
SN2009ad,Ia-norm
SN2009al,NA
SN2009dc,Ia-03fg
SN2009F,Ia-91bg
SN2009gf,NA
SN2010ai,NA
SN2010Y,NA
